[Info] Dataset loading...
[Info] NumPy conversion...
[Info] Class weights loading...
[Info] Start training
[0]	validation_0-mlogloss:1.26062
[1]	validation_0-mlogloss:1.19116
[2]	validation_0-mlogloss:1.13504
[3]	validation_0-mlogloss:1.08593
[4]	validation_0-mlogloss:1.04191
[5]	validation_0-mlogloss:1.00213
[6]	validation_0-mlogloss:0.96595
[7]	validation_0-mlogloss:0.93279
[8]	validation_0-mlogloss:0.90227
[9]	validation_0-mlogloss:0.87391
[10]	validation_0-mlogloss:0.84773
[11]	validation_0-mlogloss:0.82319
[12]	validation_0-mlogloss:0.80048
[13]	validation_0-mlogloss:0.77943
[14]	validation_0-mlogloss:0.75979
[15]	validation_0-mlogloss:0.74146
[16]	validation_0-mlogloss:0.72443
[17]	validation_0-mlogloss:0.70856
[18]	validation_0-mlogloss:0.69357
[19]	validation_0-mlogloss:0.67958
[20]	validation_0-mlogloss:0.66654
[21]	validation_0-mlogloss:0.65426
[22]	validation_0-mlogloss:0.64271
[23]	validation_0-mlogloss:0.63200
[24]	validation_0-mlogloss:0.62194
[25]	validation_0-mlogloss:0.61257
[26]	validation_0-mlogloss:0.60379
[27]	validation_0-mlogloss:0.59554
[28]	validation_0-mlogloss:0.58780
[29]	validation_0-mlogloss:0.58062
[30]	validation_0-mlogloss:0.57392
[31]	validation_0-mlogloss:0.56758
[32]	validation_0-mlogloss:0.56177
[33]	validation_0-mlogloss:0.55630
[34]	validation_0-mlogloss:0.55122
[35]	validation_0-mlogloss:0.54645
[36]	validation_0-mlogloss:0.54205
[37]	validation_0-mlogloss:0.53795
[38]	validation_0-mlogloss:0.53409
[39]	validation_0-mlogloss:0.53049
[40]	validation_0-mlogloss:0.52719
[41]	validation_0-mlogloss:0.52406
[42]	validation_0-mlogloss:0.52115
[43]	validation_0-mlogloss:0.51852
[44]	validation_0-mlogloss:0.51610
[45]	validation_0-mlogloss:0.51384
[46]	validation_0-mlogloss:0.51174
[47]	validation_0-mlogloss:0.50980
[48]	validation_0-mlogloss:0.50795
[49]	validation_0-mlogloss:0.50627
[50]	validation_0-mlogloss:0.50473
[51]	validation_0-mlogloss:0.50330
[52]	validation_0-mlogloss:0.50198
[53]	validation_0-mlogloss:0.50074
[54]	validation_0-mlogloss:0.49962
[55]	validation_0-mlogloss:0.49856
[56]	validation_0-mlogloss:0.49768
[57]	validation_0-mlogloss:0.49687
[58]	validation_0-mlogloss:0.49616
[59]	validation_0-mlogloss:0.49554
[60]	validation_0-mlogloss:0.49492
[61]	validation_0-mlogloss:0.49434
[62]	validation_0-mlogloss:0.49388
[63]	validation_0-mlogloss:0.49351
[64]	validation_0-mlogloss:0.49317
[65]	validation_0-mlogloss:0.49277
[66]	validation_0-mlogloss:0.49248
[67]	validation_0-mlogloss:0.49222
[68]	validation_0-mlogloss:0.49203
[69]	validation_0-mlogloss:0.49187
[70]	validation_0-mlogloss:0.49178
[71]	validation_0-mlogloss:0.49175
[72]	validation_0-mlogloss:0.49166
[73]	validation_0-mlogloss:0.49167
[74]	validation_0-mlogloss:0.49166
[75]	validation_0-mlogloss:0.49173
[76]	validation_0-mlogloss:0.49182
[77]	validation_0-mlogloss:0.49182
[78]	validation_0-mlogloss:0.49193
[79]	validation_0-mlogloss:0.49204
[80]	validation_0-mlogloss:0.49209
[81]	validation_0-mlogloss:0.49227
[Info] Saved trained model
[Info] Prediction complete
