k,cell_type_plot,broad_cluster
2,"CD16+, CD56-dim NK cell",0
2,"CD16-, CD56-bright NK cell",0
2,"CD4+, alpha-beta T cell",0
2,"CD8+, alpha-beta T cell",0
2,"CD8+, alpha-beta mem. T cell",0
2,NK cell,0
2,alpha-beta T cell,0
2,chandelier pvalb GABAergic cortical interneuron,0
2,double negative T regulatory cell,0
2,double negative thymocyte,0
2,"effector CD8+, alpha-beta T cell",0
2,ependymal cell,0
2,exhausted T cell,0
2,fibroblast of cardiac tissue,0
2,intraepithelial lymphocyte,0
2,mature NK T cell,0
2,mature T cell,0
2,mature alpha-beta T cell,0
2,mature gamma-delta T cell,0
2,naive T cell,0
2,"naive thym.-der. CD8+, alpha-beta T cell",0
2,paneth cell,0
2,platelet,0
2,regulatory T cell,0
2,sncg GABAergic cortical interneuron,0
2,CD14+ monocyte,1
2,"CD14-low, CD16+ monocyte",1
2,CD1c+ myeloid dendritic cell,1
2,L2/3-6 IT projecting neuron,1
2,alternatively activated macrophage,1
2,alveolar macrophage,1
2,clas. monocyte,1
2,conventional dendritic cell,1
2,dendritic cell,1
2,elicited macrophage,1
2,glutamatergic neuron,1
2,inflammatory macrophage,1
2,intermediate monocyte,1
2,lung macrophage,1
2,macrophage,1
2,microglial cell,1
2,monocyte,1
2,neuron,1
2,non-classical monocyte,1
2,oligodendrocyte,1
2,oligodendrocyte pre. cell,1
2,plasmacytoid dendritic cell,1
2,cardiac muscle cell,10
2,epith. cell of proximal tubule,10
2,kidney loop Henle thick asc. limb epith. cell,10
2,kidney loop Henle thin asc. limb epith. cell,10
2,kidney loop Henle thin des. limb epith. cell,10
2,IgA plasma cell,11
2,IgG plasma cell,11
2,alveolar type 1 fibroblast cell,11
2,cardiac neuron,11
2,"central mem. CD8+, alpha-beta T cell",12
2,"effector mem. CD8+, alpha-beta T cell",12
2,gamma-delta T cell,12
2,mucosal invariant T cell,12
2,"CD4+, alpha-beta cytotoxic T cell",13
2,"CD8+, alpha-beta cytotoxic T cell",13
2,astrocyte of the cerebral cortex,13
2,"effector mem. CD8+, alpha-beta T cell, term. diff.",13
2,Schwann cell,14
2,caudal ganglionic eminence der. GABAergic cortical interneuron,14
2,respiratory basal cell,14
2,respiratory hillock cell,14
2,alveolar type 2 fibroblast cell,15
2,retinal cone cell,15
2,retinal ganglion cell,15
2,retinal rod cell,15
2,basal cell,16
2,keratinocyte,16
2,myoepithelial cell of mammary gland,16
2,"central mem. CD4+, alpha-beta T cell",17
2,"effector mem. CD4+, alpha-beta T cell",17
2,"naive thym.-der. CD4+, alpha-beta T cell",17
2,leukocyte,18
2,lymphocyte,18
2,lymphoid lineage restricted progenitor cell,18
2,"CD14+, CD16+ monocyte",19
2,"CD14+, CD16- clas. monocyte",19
2,L6b glutamatergic cortical neuron,2
2,astrocyte,2
2,club cell,2
2,"double+, alpha-beta thymocyte",2
2,enterocyte,2
2,enteroendocrine cell,2
2,goblet cell,2
2,intestine goblet cell,2
2,luminal epith. cell of mammary gland,2
2,mesothelial cell,2
2,mucous neck cell,2
2,nasal mucosa goblet cell,2
2,type II pneumocyte,2
2,vip GABAergic cortical interneuron,2
2,foveolar cell of stomach,20
2,pvalb GABAergic cortical interneuron,20
2,lamp5 GABAergic cortical interneuron,21
2,type I pneumocyte,21
2,lung pericyte,22
2,near-project. glutamatergic cortical neuron,22
2,B cell,3
2,class switched mem. B cell,3
2,immature B cell,3
2,mature B cell,3
2,mem. B cell,3
2,naive B cell,3
2,plasma cell,3
2,plasmablast,3
2,pre. B cell,3
2,pro-B cell,3
2,transitional stage B cell,3
2,basal cell of epithelium of trachea,4
2,blood vessel endothelial cell,4
2,capillary endothelial cell,4
2,central nervous sys. macrophage,4
2,corticothalamic-project. glutamatergic cortical neuron,4
2,endothelial cell,4
2,endothelial cell of artery,4
2,endothelial cell of lymphatic vessel,4
2,pulmonary artery endothelial cell,4
2,tracheal goblet cell,4
2,vein endothelial cell,4
2,"CD8-alpha-alpha+, lpha-eta intraepith. T cell",5
2,T follicular helper cell,5
2,T-helper 17 cell,5
2,T-helper 22 cell,5
2,"activated CD4+, alpha-beta T cell",5
2,"activated CD8+, alpha-beta T cell",5
2,amacrine cell,5
2,immature innate lymphoid cell,5
2,kidney interstitial fibroblast,5
2,mem. T cell,5
2,erythroblast,6
2,erythrocyte,6
2,granulocyte,6
2,hematopoietic stem cell,6
2,mast cell,6
2,megakaryocyte-erythroid progenitor cell,6
2,promonocyte,6
2,sst GABAergic cortical interneuron,6
2,CD4+ helper T cell,7
2,"CD4+, alpha-beta mem. T cell",7
2,T cell,7
2,fallopian tube secretory epith. cell,7
2,innate lymphoid cell,7
2,neutrophil,7
2,renal interstitial pericyte,7
2,Bergmann glial cell,8
2,bronchus fibroblast of lung,8
2,kidney collecting duct intercalated cell,8
2,kidney collecting duct principal cell,8
2,kidney connecting tubule epith. cell,8
2,kidney distal convoluted tubule epith. cell,8
2,retina horizontal cell,8
2,ciliated columnar cell of tracheobronchial tree,9
2,enteric smooth muscle cell,9
2,granulosa cell,9
2,pericyte,9
2,smooth muscle cell,9
2,tracheobronchial smooth muscle cell,9
2,vascular assoc. smooth muscle cell,9
3,"CD16+, CD56-dim NK cell",0
3,"CD16-, CD56-bright NK cell",0
3,CD4+ helper T cell,0
3,"CD4+, alpha-beta T cell",0
3,"CD4+, alpha-beta cytotoxic T cell",0
3,"CD4+, alpha-beta mem. T cell",0
3,"CD8+, alpha-beta T cell",0
3,"CD8+, alpha-beta cytotoxic T cell",0
3,"CD8+, alpha-beta mem. T cell",0
3,NK cell,0
3,T cell,0
3,alpha-beta T cell,0
3,astrocyte of the cerebral cortex,0
3,"central mem. CD4+, alpha-beta T cell",0
3,"central mem. CD8+, alpha-beta T cell",0
3,chandelier pvalb GABAergic cortical interneuron,0
3,double negative T regulatory cell,0
3,"effector CD8+, alpha-beta T cell",0
3,"effector mem. CD4+, alpha-beta T cell",0
3,"effector mem. CD8+, alpha-beta T cell",0
3,"effector mem. CD8+, alpha-beta T cell, term. diff.",0
3,ependymal cell,0
3,exhausted T cell,0
3,fallopian tube secretory epith. cell,0
3,gamma-delta T cell,0
3,innate lymphoid cell,0
3,intraepithelial lymphocyte,0
3,leukocyte,0
3,lymphocyte,0
3,lymphoid lineage restricted progenitor cell,0
3,mature NK T cell,0
3,mature T cell,0
3,mature alpha-beta T cell,0
3,mature gamma-delta T cell,0
3,mucosal invariant T cell,0
3,naive T cell,0
3,"naive thym.-der. CD4+, alpha-beta T cell",0
3,"naive thym.-der. CD8+, alpha-beta T cell",0
3,neutrophil,0
3,platelet,0
3,regulatory T cell,0
3,renal interstitial pericyte,0
3,sncg GABAergic cortical interneuron,0
3,Bergmann glial cell,1
3,L6b glutamatergic cortical neuron,1
3,alveolar type 2 fibroblast cell,1
3,basal cell of epithelium of trachea,1
3,blood vessel endothelial cell,1
3,bronchus fibroblast of lung,1
3,capillary endothelial cell,1
3,cardiac muscle cell,1
3,central nervous sys. macrophage,1
3,ciliated columnar cell of tracheobronchial tree,1
3,corticothalamic-project. glutamatergic cortical neuron,1
3,endothelial cell,1
3,endothelial cell of artery,1
3,endothelial cell of lymphatic vessel,1
3,enteric smooth muscle cell,1
3,epith. cell of proximal tubule,1
3,foveolar cell of stomach,1
3,granulosa cell,1
3,kidney collecting duct intercalated cell,1
3,kidney collecting duct principal cell,1
3,kidney connecting tubule epith. cell,1
3,kidney distal convoluted tubule epith. cell,1
3,kidney loop Henle thick asc. limb epith. cell,1
3,kidney loop Henle thin asc. limb epith. cell,1
3,kidney loop Henle thin des. limb epith. cell,1
3,mesothelial cell,1
3,pericyte,1
3,pulmonary artery endothelial cell,1
3,pvalb GABAergic cortical interneuron,1
3,retina horizontal cell,1
3,retinal cone cell,1
3,retinal ganglion cell,1
3,retinal rod cell,1
3,smooth muscle cell,1
3,tracheal goblet cell,1
3,tracheobronchial smooth muscle cell,1
3,type II pneumocyte,1
3,vascular assoc. smooth muscle cell,1
3,vein endothelial cell,1
3,CD14+ monocyte,2
3,"CD14+, CD16+ monocyte",2
3,"CD14+, CD16- clas. monocyte",2
3,"CD14-low, CD16+ monocyte",2
3,CD1c+ myeloid dendritic cell,2
3,L2/3-6 IT projecting neuron,2
3,alternatively activated macrophage,2
3,alveolar macrophage,2
3,clas. monocyte,2
3,conventional dendritic cell,2
3,dendritic cell,2
3,elicited macrophage,2
3,glutamatergic neuron,2
3,inflammatory macrophage,2
3,intermediate monocyte,2
3,lamp5 GABAergic cortical interneuron,2
3,lung macrophage,2
3,lung pericyte,2
3,macrophage,2
3,microglial cell,2
3,monocyte,2
3,near-project. glutamatergic cortical neuron,2
3,neuron,2
3,non-classical monocyte,2
3,oligodendrocyte,2
3,oligodendrocyte pre. cell,2
3,plasmacytoid dendritic cell,2
3,type I pneumocyte,2
3,B cell,3
3,IgA plasma cell,3
3,IgG plasma cell,3
3,alveolar type 1 fibroblast cell,3
3,cardiac neuron,3
3,class switched mem. B cell,3
3,erythroblast,3
3,erythrocyte,3
3,granulocyte,3
3,hematopoietic stem cell,3
3,immature B cell,3
3,mast cell,3
3,mature B cell,3
3,megakaryocyte-erythroid progenitor cell,3
3,mem. B cell,3
3,naive B cell,3
3,plasma cell,3
3,plasmablast,3
3,pre. B cell,3
3,pro-B cell,3
3,promonocyte,3
3,sst GABAergic cortical interneuron,3
3,transitional stage B cell,3
3,Schwann cell,4
3,astrocyte,4
3,basal cell,4
3,caudal ganglionic eminence der. GABAergic cortical interneuron,4
3,club cell,4
3,double negative thymocyte,4
3,"double+, alpha-beta thymocyte",4
3,enterocyte,4
3,enteroendocrine cell,4
3,fibroblast of cardiac tissue,4
3,goblet cell,4
3,intestine goblet cell,4
3,keratinocyte,4
3,luminal epith. cell of mammary gland,4
3,mucous neck cell,4
3,myoepithelial cell of mammary gland,4
3,nasal mucosa goblet cell,4
3,paneth cell,4
3,respiratory basal cell,4
3,respiratory hillock cell,4
3,vip GABAergic cortical interneuron,4
3,"CD8-alpha-alpha+, lpha-eta intraepith. T cell",5
3,T follicular helper cell,5
3,T-helper 17 cell,5
3,T-helper 22 cell,5
3,"activated CD4+, alpha-beta T cell",5
3,"activated CD8+, alpha-beta T cell",5
3,amacrine cell,5
3,immature innate lymphoid cell,5
3,kidney interstitial fibroblast,5
3,mem. T cell,5
4,Bergmann glial cell,0
4,L6b glutamatergic cortical neuron,0
4,Schwann cell,0
4,alveolar type 2 fibroblast cell,0
4,astrocyte,0
4,basal cell,0
4,basal cell of epithelium of trachea,0
4,blood vessel endothelial cell,0
4,bronchus fibroblast of lung,0
4,capillary endothelial cell,0
4,cardiac muscle cell,0
4,caudal ganglionic eminence der. GABAergic cortical interneuron,0
4,central nervous sys. macrophage,0
4,ciliated columnar cell of tracheobronchial tree,0
4,club cell,0
4,corticothalamic-project. glutamatergic cortical neuron,0
4,double negative thymocyte,0
4,"double+, alpha-beta thymocyte",0
4,endothelial cell,0
4,endothelial cell of artery,0
4,endothelial cell of lymphatic vessel,0
4,enteric smooth muscle cell,0
4,enterocyte,0
4,enteroendocrine cell,0
4,epith. cell of proximal tubule,0
4,fibroblast of cardiac tissue,0
4,foveolar cell of stomach,0
4,goblet cell,0
4,granulosa cell,0
4,intestine goblet cell,0
4,keratinocyte,0
4,kidney collecting duct intercalated cell,0
4,kidney collecting duct principal cell,0
4,kidney connecting tubule epith. cell,0
4,kidney distal convoluted tubule epith. cell,0
4,kidney interstitial fibroblast,0
4,kidney loop Henle thick asc. limb epith. cell,0
4,kidney loop Henle thin asc. limb epith. cell,0
4,kidney loop Henle thin des. limb epith. cell,0
4,lamp5 GABAergic cortical interneuron,0
4,luminal epith. cell of mammary gland,0
4,mesothelial cell,0
4,mucous neck cell,0
4,myoepithelial cell of mammary gland,0
4,nasal mucosa goblet cell,0
4,paneth cell,0
4,pericyte,0
4,pvalb GABAergic cortical interneuron,0
4,respiratory basal cell,0
4,respiratory hillock cell,0
4,retina horizontal cell,0
4,retinal cone cell,0
4,retinal ganglion cell,0
4,retinal rod cell,0
4,smooth muscle cell,0
4,tracheal goblet cell,0
4,tracheobronchial smooth muscle cell,0
4,type I pneumocyte,0
4,type II pneumocyte,0
4,vascular assoc. smooth muscle cell,0
4,vein endothelial cell,0
4,vip GABAergic cortical interneuron,0
4,"CD16+, CD56-dim NK cell",1
4,"CD16-, CD56-bright NK cell",1
4,CD4+ helper T cell,1
4,"CD4+, alpha-beta T cell",1
4,"CD4+, alpha-beta cytotoxic T cell",1
4,"CD4+, alpha-beta mem. T cell",1
4,"CD8+, alpha-beta T cell",1
4,"CD8+, alpha-beta cytotoxic T cell",1
4,"CD8+, alpha-beta mem. T cell",1
4,NK cell,1
4,T cell,1
4,alpha-beta T cell,1
4,astrocyte of the cerebral cortex,1
4,"central mem. CD4+, alpha-beta T cell",1
4,"central mem. CD8+, alpha-beta T cell",1
4,chandelier pvalb GABAergic cortical interneuron,1
4,double negative T regulatory cell,1
4,"effector CD8+, alpha-beta T cell",1
4,"effector mem. CD4+, alpha-beta T cell",1
4,"effector mem. CD8+, alpha-beta T cell",1
4,"effector mem. CD8+, alpha-beta T cell, term. diff.",1
4,ependymal cell,1
4,exhausted T cell,1
4,fallopian tube secretory epith. cell,1
4,gamma-delta T cell,1
4,innate lymphoid cell,1
4,intraepithelial lymphocyte,1
4,leukocyte,1
4,lymphocyte,1
4,mature NK T cell,1
4,mature T cell,1
4,mature alpha-beta T cell,1
4,mature gamma-delta T cell,1
4,mucosal invariant T cell,1
4,naive T cell,1
4,"naive thym.-der. CD4+, alpha-beta T cell",1
4,"naive thym.-der. CD8+, alpha-beta T cell",1
4,platelet,1
4,pulmonary artery endothelial cell,1
4,regulatory T cell,1
4,renal interstitial pericyte,1
4,sncg GABAergic cortical interneuron,1
4,CD14+ monocyte,2
4,"CD14+, CD16+ monocyte",2
4,"CD14+, CD16- clas. monocyte",2
4,"CD14-low, CD16+ monocyte",2
4,CD1c+ myeloid dendritic cell,2
4,L2/3-6 IT projecting neuron,2
4,alternatively activated macrophage,2
4,alveolar macrophage,2
4,clas. monocyte,2
4,conventional dendritic cell,2
4,dendritic cell,2
4,elicited macrophage,2
4,glutamatergic neuron,2
4,inflammatory macrophage,2
4,intermediate monocyte,2
4,lung macrophage,2
4,lung pericyte,2
4,macrophage,2
4,microglial cell,2
4,monocyte,2
4,near-project. glutamatergic cortical neuron,2
4,neuron,2
4,neutrophil,2
4,non-classical monocyte,2
4,oligodendrocyte,2
4,oligodendrocyte pre. cell,2
4,plasmacytoid dendritic cell,2
4,B cell,3
4,"CD8-alpha-alpha+, lpha-eta intraepith. T cell",3
4,IgA plasma cell,3
4,IgG plasma cell,3
4,T follicular helper cell,3
