k,cell_type_plot,broad_cluster
5,Bergmann glial cell,0
5,L6b glutamatergic cortical neuron,0
5,Schwann cell,0
5,alveolar type 1 fibroblast cell,0
5,alveolar type 2 fibroblast cell,0
5,astrocyte,0
5,basal cell,0
5,basal cell of epithelium of trachea,0
5,blood vessel endothelial cell,0
5,bronchus fibroblast of lung,0
5,capillary endothelial cell,0
5,cardiac muscle cell,0
5,cardiac neuron,0
5,central nervous sys. macrophage,0
5,ciliated columnar cell of tracheobronchial tree,0
5,club cell,0
5,corticothalamic-project. glutamatergic cortical neuron,0
5,double negative thymocyte,0
5,"double+, alpha-beta thymocyte",0
5,endothelial cell,0
5,endothelial cell of artery,0
5,endothelial cell of lymphatic vessel,0
5,enteric smooth muscle cell,0
5,enterocyte,0
5,enteroendocrine cell,0
5,epith. cell of proximal tubule,0
5,fibroblast of cardiac tissue,0
5,foveolar cell of stomach,0
5,goblet cell,0
5,granulosa cell,0
5,intestine goblet cell,0
5,keratinocyte,0
5,kidney collecting duct intercalated cell,0
5,kidney collecting duct principal cell,0
5,kidney connecting tubule epith. cell,0
5,kidney distal convoluted tubule epith. cell,0
5,kidney loop Henle thick asc. limb epith. cell,0
5,kidney loop Henle thin asc. limb epith. cell,0
5,kidney loop Henle thin des. limb epith. cell,0
5,lamp5 GABAergic cortical interneuron,0
5,luminal epith. cell of mammary gland,0
5,mesothelial cell,0
5,mucous neck cell,0
5,myoepithelial cell of mammary gland,0
5,nasal mucosa goblet cell,0
5,oligodendrocyte,0
5,paneth cell,0
5,pericyte,0
5,pro-B cell,0
5,pulmonary artery endothelial cell,0
5,pvalb GABAergic cortical interneuron,0
5,respiratory basal cell,0
5,respiratory hillock cell,0
5,retina horizontal cell,0
5,retinal cone cell,0
5,retinal ganglion cell,0
5,retinal rod cell,0
5,smooth muscle cell,0
5,tracheal goblet cell,0
5,tracheobronchial smooth muscle cell,0
5,type I pneumocyte,0
5,type II pneumocyte,0
5,vascular assoc. smooth muscle cell,0
5,vein endothelial cell,0
5,vip GABAergic cortical interneuron,0
5,"CD16+, CD56-dim NK cell",1
5,"CD16-, CD56-bright NK cell",1
5,CD4+ helper T cell,1
5,"CD4+, alpha-beta T cell",1
5,"CD4+, alpha-beta cytotoxic T cell",1
5,"CD4+, alpha-beta mem. T cell",1
5,"CD8+, alpha-beta T cell",1
5,"CD8+, alpha-beta cytotoxic T cell",1
5,"CD8+, alpha-beta mem. T cell",1
5,"CD8-alpha-alpha+, lpha-eta intraepith. T cell",1
5,NK cell,1
5,T cell,1
5,T follicular helper cell,1
5,T-helper 17 cell,1
5,T-helper 22 cell,1
5,"activated CD4+, alpha-beta T cell",1
5,"activated CD8+, alpha-beta T cell",1
5,alpha-beta T cell,1
5,amacrine cell,1
5,astrocyte of the cerebral cortex,1
5,"central mem. CD4+, alpha-beta T cell",1
5,"central mem. CD8+, alpha-beta T cell",1
5,chandelier pvalb GABAergic cortical interneuron,1
5,double negative T regulatory cell,1
5,"effector CD8+, alpha-beta T cell",1
5,"effector mem. CD4+, alpha-beta T cell",1
5,"effector mem. CD8+, alpha-beta T cell",1
5,"effector mem. CD8+, alpha-beta T cell, term. diff.",1
5,exhausted T cell,1
5,fallopian tube secretory epith. cell,1
5,gamma-delta T cell,1
5,immature innate lymphoid cell,1
5,innate lymphoid cell,1
5,intraepithelial lymphocyte,1
5,kidney interstitial fibroblast,1
5,leukocyte,1
5,lymphocyte,1
5,mature NK T cell,1
5,mature T cell,1
5,mature alpha-beta T cell,1
5,mature gamma-delta T cell,1
5,mem. T cell,1
5,mucosal invariant T cell,1
5,naive T cell,1
5,"naive thym.-der. CD4+, alpha-beta T cell",1
5,"naive thym.-der. CD8+, alpha-beta T cell",1
5,platelet,1
5,regulatory T cell,1
5,renal interstitial pericyte,1
5,sncg GABAergic cortical interneuron,1
5,CD14+ monocyte,2
5,"CD14+, CD16+ monocyte",2
5,"CD14+, CD16- clas. monocyte",2
5,"CD14-low, CD16+ monocyte",2
5,CD1c+ myeloid dendritic cell,2
5,L2/3-6 IT projecting neuron,2
5,alternatively activated macrophage,2
5,alveolar macrophage,2
5,clas. monocyte,2
5,conventional dendritic cell,2
5,dendritic cell,2
5,elicited macrophage,2
5,glutamatergic neuron,2
5,inflammatory macrophage,2
5,intermediate monocyte,2
5,lung macrophage,2
5,lung pericyte,2
5,macrophage,2
5,microglial cell,2
5,monocyte,2
5,near-project. glutamatergic cortical neuron,2
5,neuron,2
5,neutrophil,2
5,non-classical monocyte,2
5,oligodendrocyte pre. cell,2
5,plasmacytoid dendritic cell,2
5,B cell,3
5,IgA plasma cell,3
5,IgG plasma cell,3
5,caudal ganglionic eminence der. GABAergic cortical interneuron,3
5,class switched mem. B cell,3
5,ependymal cell,3
5,erythroblast,3
5,erythrocyte,3
5,granulocyte,3
5,hematopoietic stem cell,3
5,immature B cell,3
5,lymphoid lineage restricted progenitor cell,3
5,mast cell,3
5,mature B cell,3
5,megakaryocyte-erythroid progenitor cell,3
5,mem. B cell,3
5,naive B cell,3
5,plasma cell,3
5,plasmablast,3
5,pre. B cell,3
5,promonocyte,3
5,sst GABAergic cortical interneuron,3
5,transitional stage B cell,3
