source,target,distance,rank
B cell,mem. B cell,0.22675904798949387,1
B cell,plasma cell,0.2702214682105244,2
B cell,naive B cell,0.27026604121244735,3
B cell,"CD8+, alpha-beta T cell",0.28297859027091643,4
B cell,"CD4+, alpha-beta T cell",0.30172661481970553,5
B cell,innate lymphoid cell,0.3118921828042144,6
B cell,NK cell,0.3309513835814013,7
B cell,IgG plasma cell,0.3351099181397079,8
B cell,dendritic cell,0.33521633530276895,9
B cell,immature B cell,0.33953936960326303,10
B cell,T cell,0.3497308583040324,11
B cell,erythrocyte,0.35833492194626315,12
B cell,plasmablast,0.35874728571284387,13
B cell,transitional stage B cell,0.36065251011579846,14
B cell,plasmacytoid dendritic cell,0.3610655422367325,15
B cell,pre. B cell,0.3612049569586301,16
B cell,mature alpha-beta T cell,0.3664874005799936,17
B cell,monocyte,0.37332645119857366,18
B cell,neuron,0.3743073742761698,19
B cell,erythroblast,0.37524982785492655,20
Bergmann glial cell,kidney distal convoluted tubule epith. cell,0.351056157460935,1
Bergmann glial cell,granulosa cell,0.38555467469270543,2
Bergmann glial cell,elicited macrophage,0.4224125673973028,3
Bergmann glial cell,macrophage,0.4268314832897162,4
Bergmann glial cell,T cell,0.42889163959985466,5
Bergmann glial cell,double negative thymocyte,0.4291366499869018,6
Bergmann glial cell,vascular assoc. smooth muscle cell,0.4294118826537786,7
Bergmann glial cell,conventional dendritic cell,0.4364798698471559,8
Bergmann glial cell,respiratory hillock cell,0.4374058622192274,9
Bergmann glial cell,NK cell,0.4413531782980181,10
Bergmann glial cell,retinal cone cell,0.4418652311396418,11
Bergmann glial cell,intermediate monocyte,0.44367203640647357,12
Bergmann glial cell,IgG plasma cell,0.44377856657032755,13
Bergmann glial cell,"effector CD8+, alpha-beta T cell",0.44729826536410955,14
Bergmann glial cell,smooth muscle cell,0.4495097976383684,15
Bergmann glial cell,club cell,0.45070082049104354,16
Bergmann glial cell,inflammatory macrophage,0.4526194409613026,17
Bergmann glial cell,fibroblast of cardiac tissue,0.4553476882790374,18
Bergmann glial cell,"double+, alpha-beta thymocyte",0.4579402631911187,19
Bergmann glial cell,kidney loop Henle thin des. limb epith. cell,0.4595779541633219,20
"CD14-low, CD16+ monocyte",monocyte,0.3608952362606389,1
"CD14-low, CD16+ monocyte",mature NK T cell,0.3727108705365708,2
"CD14-low, CD16+ monocyte",non-classical monocyte,0.39257056075776575,3
"CD14-low, CD16+ monocyte",retina horizontal cell,0.4055001772938872,4
"CD14-low, CD16+ monocyte",CD14+ monocyte,0.4077498061328523,5
"CD14-low, CD16+ monocyte","central mem. CD4+, alpha-beta T cell",0.4085152966414116,6
"CD14-low, CD16+ monocyte",mem. B cell,0.4204209318425155,7
"CD14-low, CD16+ monocyte",double negative T regulatory cell,0.42323078468790243,8
"CD14-low, CD16+ monocyte",fibroblast of cardiac tissue,0.4276137271326832,9
"CD14-low, CD16+ monocyte",pre. B cell,0.4279952009770398,10
"CD14-low, CD16+ monocyte",innate lymphoid cell,0.4283349671753839,11
"CD14-low, CD16+ monocyte",chandelier pvalb GABAergic cortical interneuron,0.42928480699893956,12
"CD14-low, CD16+ monocyte","CD14+, CD16+ monocyte",0.43094313691131036,13
"CD14-low, CD16+ monocyte",kidney distal convoluted tubule epith. cell,0.4317328099211962,14
"CD14-low, CD16+ monocyte",ependymal cell,0.43195494258118006,15
"CD14-low, CD16+ monocyte",regulatory T cell,0.4344182756571857,16
"CD14-low, CD16+ monocyte","effector mem. CD4+, alpha-beta T cell",0.4371390307518024,17
"CD14-low, CD16+ monocyte","effector mem. CD8+, alpha-beta T cell",0.4389967032057057,18
"CD14-low, CD16+ monocyte",alveolar type 2 fibroblast cell,0.44054988813145723,19
"CD14-low, CD16+ monocyte",vascular assoc. smooth muscle cell,0.4416721831957007,20
CD14+ monocyte,clas. monocyte,0.2797525484195622,1
CD14+ monocyte,monocyte,0.28273658358354026,2
CD14+ monocyte,macrophage,0.3282034959243393,3
CD14+ monocyte,mature NK T cell,0.33585586996507244,4
CD14+ monocyte,"CD14+, CD16- clas. monocyte",0.3397962981061299,5
CD14+ monocyte,vip GABAergic cortical interneuron,0.34295915530835563,6
CD14+ monocyte,pericyte,0.3508503588836749,7
CD14+ monocyte,"effector mem. CD8+, alpha-beta T cell",0.35626682934599796,8
CD14+ monocyte,dendritic cell,0.3589665009732914,9
CD14+ monocyte,intermediate monocyte,0.36115237147051027,10
CD14+ monocyte,neutrophil,0.37131395878051987,11
CD14+ monocyte,gamma-delta T cell,0.3728896464734105,12
CD14+ monocyte,"CD4+, alpha-beta cytotoxic T cell",0.3732703113634739,13
CD14+ monocyte,"effector mem. CD4+, alpha-beta T cell",0.37733286750853223,14
CD14+ monocyte,CD1c+ myeloid dendritic cell,0.37925109993792305,15
CD14+ monocyte,alveolar macrophage,0.3796142958120885,16
CD14+ monocyte,"naive thym.-der. CD8+, alpha-beta T cell",0.3818247902787364,17
CD14+ monocyte,"CD8+, alpha-beta mem. T cell",0.3847541406760483,18
CD14+ monocyte,nasal mucosa goblet cell,0.38751298843162807,19
CD14+ monocyte,endothelial cell,0.39526112714343786,20
"CD14+, CD16- clas. monocyte","CD14+, CD16+ monocyte",0.29679421261303573,1
"CD14+, CD16- clas. monocyte",monocyte,0.30027251427320845,2
"CD14+, CD16- clas. monocyte",clas. monocyte,0.32397446833683785,3
"CD14+, CD16- clas. monocyte",near-project. glutamatergic cortical neuron,0.33352825423246446,4
"CD14+, CD16- clas. monocyte",CD14+ monocyte,0.3397962981061299,5
"CD14+, CD16- clas. monocyte",macrophage,0.3506684544657972,6
"CD14+, CD16- clas. monocyte",kidney interstitial fibroblast,0.3517823222076275,7
"CD14+, CD16- clas. monocyte",retinal cone cell,0.3620161875526452,8
"CD14+, CD16- clas. monocyte","CD8+, alpha-beta T cell",0.3633684131416238,9
"CD14+, CD16- clas. monocyte",dendritic cell,0.37662527338802254,10
"CD14+, CD16- clas. monocyte",club cell,0.379281964613706,11
"CD14+, CD16- clas. monocyte",microglial cell,0.38644749857538574,12
"CD14+, CD16- clas. monocyte",vein endothelial cell,0.38936102789251104,13
"CD14+, CD16- clas. monocyte",lung pericyte,0.39106844010160813,14
"CD14+, CD16- clas. monocyte",pericyte,0.3995935337061707,15
