source,target,distance,rank
B cell,"CD4+, alpha-beta T cell",0.30172661481970553,5
B cell,"CD8+, alpha-beta T cell",0.28297859027091643,4
IgA plasma cell,B cell,0.39812220482353433,14
B cell,IgG plasma cell,0.3351099181397079,8
B cell,NK cell,0.3309513835814013,7
B cell,T cell,0.3497308583040324,11
class switched mem. B cell,B cell,0.378758368636418,4
B cell,dendritic cell,0.33521633530276895,9
erythroblast,B cell,0.37524982785492655,15
B cell,erythrocyte,0.35833492194626315,12
immature B cell,B cell,0.33953936960326303,7
B cell,innate lymphoid cell,0.3118921828042144,6
mature B cell,B cell,0.413294571211975,11
mature alpha-beta T cell,B cell,0.3664874005799936,11
B cell,mem. B cell,0.22675904798949387,1
B cell,monocyte,0.37332645119857366,18
B cell,naive B cell,0.27026604121244735,3
neuron,B cell,0.3743073742761698,4
plasma cell,B cell,0.2702214682105244,1
plasmablast,B cell,0.35874728571284387,8
plasmacytoid dendritic cell,B cell,0.3610655422367325,7
pre. B cell,B cell,0.3612049569586301,12
pro-B cell,B cell,0.40339184693199615,16
retinal rod cell,B cell,0.40450286011976455,16
transitional stage B cell,B cell,0.36065251011579846,6
Bergmann glial cell,IgG plasma cell,0.44377856657032755,13
Bergmann glial cell,NK cell,0.4413531782980181,10
Bergmann glial cell,T cell,0.42889163959985466,5
Bergmann glial cell,club cell,0.45070082049104354,16
Bergmann glial cell,conventional dendritic cell,0.4364798698471559,8
Bergmann glial cell,double negative thymocyte,0.4291366499869018,6
Bergmann glial cell,"double+, alpha-beta thymocyte",0.4579402631911187,19
Bergmann glial cell,"effector CD8+, alpha-beta T cell",0.44729826536410955,14
Bergmann glial cell,elicited macrophage,0.4224125673973028,3
Bergmann glial cell,fibroblast of cardiac tissue,0.4553476882790374,18
Bergmann glial cell,granulosa cell,0.38555467469270543,2
Bergmann glial cell,inflammatory macrophage,0.4526194409613026,17
Bergmann glial cell,intermediate monocyte,0.44367203640647357,12
Bergmann glial cell,kidney distal convoluted tubule epith. cell,0.351056157460935,1
Bergmann glial cell,kidney loop Henle thin des. limb epith. cell,0.4595779541633219,20
Bergmann glial cell,macrophage,0.4268314832897162,4
Bergmann glial cell,respiratory hillock cell,0.4374058622192274,9
Bergmann glial cell,retinal cone cell,0.4418652311396418,11
Bergmann glial cell,smooth muscle cell,0.4495097976383684,15
Bergmann glial cell,vascular assoc. smooth muscle cell,0.4294118826537786,7
CD14+ monocyte,"CD14+, CD16- clas. monocyte",0.3397962981061299,5
"CD14-low, CD16+ monocyte",CD14+ monocyte,0.4077498061328523,5
CD1c+ myeloid dendritic cell,CD14+ monocyte,0.37925109993792305,6
CD14+ monocyte,"CD4+, alpha-beta cytotoxic T cell",0.3732703113634739,13
CD14+ monocyte,"CD8+, alpha-beta mem. T cell",0.3847541406760483,18
L6b glutamatergic cortical neuron,CD14+ monocyte,0.414203478393254,19
alveolar macrophage,CD14+ monocyte,0.3796142958120885,12
CD14+ monocyte,clas. monocyte,0.2797525484195622,1
CD14+ monocyte,dendritic cell,0.3589665009732914,9
CD14+ monocyte,"effector mem. CD4+, alpha-beta T cell",0.37733286750853223,14
CD14+ monocyte,"effector mem. CD8+, alpha-beta T cell",0.35626682934599796,8
CD14+ monocyte,endothelial cell,0.39526112714343786,20
CD14+ monocyte,gamma-delta T cell,0.3728896464734105,12
inflammatory macrophage,CD14+ monocyte,0.4246654492431172,11
CD14+ monocyte,intermediate monocyte,0.36115237147051027,10
lung pericyte,CD14+ monocyte,0.4028967756770827,16
CD14+ monocyte,macrophage,0.3282034959243393,3
CD14+ monocyte,mature NK T cell,0.33585586996507244,4
CD14+ monocyte,monocyte,0.28273658358354026,2
CD14+ monocyte,"naive thym.-der. CD8+, alpha-beta T cell",0.3818247902787364,17
CD14+ monocyte,nasal mucosa goblet cell,0.38751298843162807,19
near-project. glutamatergic cortical neuron,CD14+ monocyte,0.4110769321704727,12
neutrophil,CD14+ monocyte,0.37131395878051987,7
CD14+ monocyte,pericyte,0.3508503588836749,7
promonocyte,CD14+ monocyte,0.39885269041303406,2
vip GABAergic cortical interneuron,CD14+ monocyte,0.34295915530835563,2
"CD14+, CD16- clas. monocyte","CD14+, CD16+ monocyte",0.29679421261303573,1
"CD14-low, CD16+ monocyte","CD14+, CD16+ monocyte",0.43094313691131036,13
"CD14+, CD16+ monocyte","CD8+, alpha-beta T cell",0.42217459661126244,16
"CD14+, CD16+ monocyte",T follicular helper cell,0.4222717086361183,17
"CD14+, CD16+ monocyte","activated CD4+, alpha-beta T cell",0.39296105552453253,6
"CD14+, CD16+ monocyte","activated CD8+, alpha-beta T cell",0.417536213064022,13
"CD14+, CD16+ monocyte",alpha-beta T cell,0.4205521375801682,15
cardiac neuron,"CD14+, CD16+ monocyte",0.4878785978017519,19
chandelier pvalb GABAergic cortical interneuron,"CD14+, CD16+ monocyte",0.4332125345122686,13
"CD14+, CD16+ monocyte",clas. monocyte,0.41769152864232906,14
"CD14+, CD16+ monocyte",dendritic cell,0.3840316546815854,5
"CD14+, CD16+ monocyte",foveolar cell of stomach,0.4067699171922202,10
goblet cell,"CD14+, CD16+ monocyte",0.38348639553764396,3
"CD14+, CD16+ monocyte",intermediate monocyte,0.3953981934784121,8
"CD14+, CD16+ monocyte",kidney interstitial fibroblast,0.35171846692041386,3
"CD14+, CD16+ monocyte",macrophage,0.4105268597313547,12
"CD14+, CD16+ monocyte",mature alpha-beta T cell,0.3935780012469682,7
"CD14+, CD16+ monocyte",mem. T cell,0.40355303061157477,9
"CD14+, CD16+ monocyte",monocyte,0.3040195445801781,2
"CD14+, CD16+ monocyte",non-classical monocyte,0.4342340901637549,20
"CD14+, CD16+ monocyte",pvalb GABAergic cortical interneuron,0.4077171118558379,11
"CD14+, CD16- clas. monocyte","CD16+, CD56-dim NK cell",0.41398888032905024,19
"CD14+, CD16- clas. monocyte","CD8+, alpha-beta T cell",0.3633684131416238,9
"CD14+, CD16- clas. monocyte",NK cell,0.4055626853974462,17
"CD14+, CD16- clas. monocyte",alpha-beta T cell,0.41331475489493397,18
"CD14+, CD16- clas. monocyte",blood vessel endothelial cell,0.40523679080321295,16
central nervous sys. macrophage,"CD14+, CD16- clas. monocyte",0.42618070794343677,19
"CD14+, CD16- clas. monocyte",clas. monocyte,0.32397446833683785,3
