,original_cell_type,coarse_cell_type,z87,z91,z117,z104,z80,z88,z123,z3,z23,z58,z97,z21,z57,z18,z48,z85,z112,z29,z72,z90,z8,z79,z69,z109,z7,z76,z52,z9,z43,z27,z111,z17,z4,z6,z93,z74,z37,z70,z100,z119,z107,z11,z25,z20,z35,z63,z38,z127,z84,z102,z24,z83,z65,z99,z68,z101,z98,z106,z50,z0,z120,z92,z40,z105,z51,z75,z62,z42,z66,z73,z122,z15,z115,z31,z2,z89,z54,z113,z44,z121,z81,z46,z28,z33,z124,z5,z36,z14,z12,z59,z49,z94,z116,z56,z13,z41,z45,z16,z114,z10,z95,z19,z30,z71,z82,z110,z22,z77,z60,z64,z1,z26,z67,z32,z103,z108,z86,z34,z53,z125,z47,z55,z61,z96,z39,z118,z126,z78
k5_cluster_0,lamp5 GABAergic cortical interneuron,k5_cluster_0,0.07091427,-0.103158,-1.9092593,-1.372364,-0.7129998,-0.5766506,-2.1379333,-1.9023528,-1.5565853,0.83819675,0.23051167,-1.3911257,1.4517665,-1.207367,-0.06921244,-1.296691,-1.2202749,0.8312855,-1.7663436,-1.5650759,-1.5089774,-0.18306494,1.8149014,-1.289784,-0.26639414,-0.38260317,-0.97405005,1.6768436,-0.5030236,0.3490777,-1.1039968,-0.92977333,-0.72634506,0.029471397,-1.0727348,-0.98908854,1.5209527,0.13362122,-1.6015921,0.17454672,0.2590742,1.5828123,1.1526499,2.6140804,1.0138273,0.41555357,1.0372748,0.15214062,0.77408266,0.67845535,0.94978046,1.7906165,0.7760577,1.5082269,-0.07298422,0.5970969,0.9055476,2.5191483,0.6021719,1.9275131,-0.16930246,-0.57274866,1.5772262,-0.095963955,2.0192914,-0.22477436,-0.43236732,-0.11784887,-0.752203,0.8484788,0.15383339,1.5341306,-0.14460182,1.3781786,-0.77326345,0.039518833,0.5904155,-0.52206945,1.8924327,0.3101387,0.035735607,1.780303,-0.010645866,1.383657,3.2956133,2.7434554,2.4816265,2.3180175,1.9056697,1.3637109,2.1529012,0.50702906,0.8695097,0.50768566,-0.47849274,0.6061568,0.82580185,0.99559975,0.50516176,2.550871,-0.17953491,1.9751549,2.052248,1.2962804,2.11167,1.3598118,0.72066593,2.3232899,0.3748393,1.4463267,1.5913329,2.7936487,2.3997746,2.0684266,2.5948262,1.7749591,1.6032233,0.20331287,2.3156996,2.3773541,0.1523161,1.5014405,0.91473866,0.5275388,3.033238,2.1824555,2.2949638,0.7643485
k5_cluster_0,pvalb GABAergic cortical interneuron,k5_cluster_0,-0.20734978,-0.7343631,-1.3449931,-1.6693273,-1.7353449,-1.7947626,-0.48522663,0.13289928,-0.5830116,-0.65707636,-0.6070056,-2.045704,1.5500512,0.25077152,1.4619751,-0.39502478,-0.7744241,-0.655447,-1.2165899,-1.1267185,-1.5170765,-0.047607422,1.9746561,-0.061775684,0.7337055,1.3125663,-0.79319096,-0.03502798,0.6468334,0.17688799,-0.07094145,-0.8246031,1.5625935,-0.9192095,-0.398736,-0.33441782,-0.9328766,0.17691994,-0.8051324,0.69988537,0.4900446,2.401061,-0.05799675,0.83125305,1.2559133,1.644145,0.6525545,0.70787954,2.041121,0.7291889,-0.5001273,0.4954481,0.31033373,0.15837955,0.63592005,1.9582925,0.41509724,0.32826805,0.28954458,2.6852074,-0.17662859,0.81588936,1.7610946,0.57372046,-0.25781918,0.5506954,1.2741585,1.5655723,-0.54566526,1.2868733,0.8021722,1.8087935,1.5523796,0.090828896,1.4114938,1.1225052,-0.71394205,-0.040804863,0.25649786,-0.04693842,1.0727787,2.26402,0.5487337,2.5810657,2.9797359,4.429196,2.573906,2.0503864,3.2670388,1.7195868,1.0504146,2.1341176,1.1449552,0.3918295,0.008571148,1.3031521,1.6036062,0.7062435,1.3657246,1.8325787,1.9488955,1.3590169,2.5508747,1.8514605,0.99275494,1.5025325,0.7456169,2.426546,0.872931,2.170504,0.08372545,2.6887789,1.1323705,2.9209504,2.5231452,2.3051753,2.8360338,0.30991316,2.27497,3.0809417,1.6919088,2.4420657,1.7566876,1.1888595,0.5840173,0.26264334,1.6844883,1.0251317
k5_cluster_0,corticothalamic-projecting glutamatergic cortical neuron,k5_cluster_0,-0.68099403,-1.9348922,-1.8911109,-0.70532703,-0.13559341,-0.074142456,-1.5168381,-2.051063,0.39212227,0.12631416,-1.0716944,-2.5137005,1.2289109,1.1032548,1.0778713,-0.7150755,-1.1753836,-1.758214,-0.051563263,-0.26237965,0.0393219,-0.441185,0.36612558,-1.5526104,-0.9334192,-0.8931632,-1.2149701,-1.2028174,-0.87767935,-0.76824284,-1.5388694,-1.1505609,0.10797691,-1.7344036,0.1600399,-0.12370777,-0.89558077,-1.0345364,-1.3515301,0.59427786,0.066915035,2.5398302,-0.6189256,1.1850829,1.309464,2.133872,2.589713,-0.46177435,1.7123122,0.43495893,1.2038541,-0.35269976,0.079082966,0.043618202,0.48173618,2.0481858,-0.0059628487,2.2400784,1.4236546,2.3969383,-0.09499025,1.1918664,0.27433205,0.00844717,-0.86322546,1.3492632,1.7648926,1.2628102,0.36547613,-0.36002922,1.3706865,1.3998084,0.23344421,1.4812288,-0.5791788,-1.1910491,-0.36501837,-0.4517188,0.6534662,-1.3276277,-0.19070244,-0.5018287,-0.45813942,0.66780996,1.330648,1.4350662,2.2335267,2.2599397,3.031896,2.9877448,1.7649164,2.2439427,0.2132883,2.1302958,0.6935477,1.6999865,0.8486686,2.358602,0.2944026,0.29890442,0.79584074,1.6844602,0.7791953,-0.11154699,-0.3088417,2.617497,2.2888212,0.75169516,0.3117938,1.592691,-1.20958,2.5031033,1.0787492,2.3882823,1.911818,3.008772,0.31921816,0.2855034,0.39194632,2.6192946,2.5237093,2.2563348,1.4360099,2.0211782,1.5412674,1.9594388,2.1245432,2.1037798
k5_cluster_0,L6b glutamatergic cortical neuron,k5_cluster_0,-1.9774113,-1.5324125,-1.5402436,-1.0743928,0.51180553,-1.2668414,-1.6285067,-0.53409195,0.37034035,0.9034443,-1.3529515,-0.32100582,0.31578922,0.7499261,1.6355047,-0.97133684,-0.8675666,-0.84569025,-1.9382105,-0.1422205,-1.1191726,-0.7297225,-0.662179,-0.73917294,0.9512863,0.785378,-0.24555922,-0.1462841,-0.47123003,0.48449373,-0.7722254,-1.2215033,-0.6681423,-1.2140279,-0.063548565,-0.58718824,-1.1024184,-0.70661974,-1.6080513,0.44404078,1.0968552,-0.22074366,-0.10619974,0.6419134,-0.3767066,1.7290964,1.8756208,0.44073534,1.3036442,-0.076480865,0.47551727,1.4490972,1.5014458,1.0036335,0.11383772,-0.37242603,0.17638493,1.81037,0.5734196,2.394271,-0.43792057,1.1146989,0.096505165,1.4099097,-0.47431135,0.49079895,1.496458,1.2333007,0.4821577,0.11771202,1.2021999,1.6092992,-0.03747368,2.0289469,1.6132989,0.059604168,0.7811074,-0.09091902,-0.638504,0.0978713,0.69663286,1.9858818,-0.29471254,1.2015166,1.4172835,3.2625136,3.0704308,1.5198879,0.7885089,1.8471975,0.4507413,1.8957286,0.1733675,1.2947435,1.7291832,1.1864882,0.6819258,2.2747397,1.1223359,1.2056742,0.93558407,0.6803074,2.284564,2.684761,0.27068424,-0.025095463,0.2436471,0.022490025,0.71218824,0.7434368,2.5802321,2.3918962,1.5910358,2.7445636,2.070269,1.7258396,1.2245626,2.8465476,-0.47044373,1.7380285,2.801116,1.220717,2.9384227,0.71284485,0.34801483,0.3869872,0.5794482,2.4535189
k5_cluster_0,vip GABAergic cortical interneuron,k5_cluster_0,-1.8511662,-1.1215901,-0.48231268,-1.6996293,0.6575146,-1.7863917,-1.9041133,0.081300735,-0.65996027,-0.62159204,-0.46107388,-0.34471798,1.2103772,1.2145343,1.6394796,0.96014214,-0.68481827,0.85044384,0.15972233,-0.22029734,-1.5417571,-0.36011648,-0.94442654,-0.6046357,0.89908504,1.5027175,0.06458092,0.86263466,0.4780159,-0.40421772,-0.50526,-0.791903,-0.15240908,1.0507917,0.20889139,-0.7424989,-0.71350956,-1.0247469,-0.5588436,0.7655773,0.97651434,0.92524195,0.26925802,1.1498575,1.1483588,0.7210064,0.44675446,0.99414206,1.3061128,1.0513244,0.8805518,0.69896126,0.91225624,0.30488157,0.15281105,1.51792,1.1894464,0.77835655,0.13533545,1.5545816,0.10316467,0.10693073,0.47163486,0.9573412,-0.37736845,0.2023139,0.61428356,1.711906,1.106585,-0.36827946,0.646235,1.9437413,0.05866337,0.36222124,0.30213165,0.023380756,0.37532473,1.127842,0.39164686,0.056834698,0.44133425,1.4703693,0.37803507,1.0093055,2.8940768,3.3835702,2.107657,1.8183775,2.7231927,3.1598911,1.8420758,1.3037505,0.22147846,0.056888103,1.6180706,1.2619791,0.31887102,0.34234762,0.1777916,0.99703074,0.54933596,2.1707072,0.49915695,-0.46631575,0.66230106,0.6672802,0.4503684,1.4629917,0.7791853,1.1719222,2.4773936,2.8317633,1.899354,2.8959126,1.8697305,1.9054241,0.7235756,2.7212615,1.4986234,3.1383967,1.2229519,0.6202917,1.5989366,0.8791609,0.9561138,1.8236337,0.7982321,1.7538686
k5_cluster_0,central nervous system macrophage,k5_cluster_0,-1.3033395,-0.86056376,-1.4468551,-1.3775406,-0.6503906,-1.1897173,0.67917824,-0.011789322,-0.1193037,0.25812626,-0.500134,-0.3755598,-0.114803314,1.0602698,0.1887846,0.702734,-0.2971387,-1.1243987,-0.466434,-0.65223646,0.9719534,0.083477974,0.6309452,-0.6210666,0.25841284,1.3244367,-0.43216085,-0.65358925,1.5328369,-0.6996031,-1.0621643,-0.20808077,-0.050940514,0.10548973,1.0284233,1.8609066,-0.05226183,0.5501547,-0.32864666,1.2687068,1.4938374,1.9436636,3.0466123,0.8977885,1.3203311,0.82975674,0.2937641,1.7207308,1.046639,1.2280989,0.87450933,1.748774,1.8989229,1.7421527,1.0862193,1.005981,1.3016453,2.4287782,2.7311668,0.21829987,-0.18826437,2.553701,1.7497449,0.67697525,-0.5070143,0.61393833,0.48754215,0.9473443,0.18977499,-0.6002755,1.1760473,0.020370007,0.60116434,0.0734458,0.8507781,-0.8572302,0.20738554,1.8205085,1.0477033,-0.20174456,0.5003257,0.81438875,1.9879427,1.0631413,2.4835944,3.0107512,2.0135436,2.7994227,0.8349047,3.6197119,1.1914172,0.8660464,1.302392,2.32965,1.6900158,1.2889881,0.014359951,1.75807,1.1273022,1.4223175,1.8022828,1.0639,0.76595306,0.3767748,2.388699,1.9075179,0.5175109,-0.21747684,0.6684127,1.8206735,0.11010504,1.566587,2.5013494,1.7300153,0.8150859,3.796052,2.6705055,1.4200101,0.8613348,3.3440728,2.0846024,2.986693,1.1271429,2.5498595,3.3456101,2.642345,2.3131304,2.4041414
k5_cluster_0,granulosa cell,k5_cluster_0,-1.4358702,-0.9722519,-1.6686149,-1.7725616,-1.9394641,-1.940105,-1.3260126,-0.90424013,-1.767694,-1.181736,-1.8939514,-1.4069605,-1.0230503,0.6686826,0.74482155,-1.1903753,0.4644947,-1.3339047,-0.7526555,-1.3151374,-0.277843,0.81926775,-0.13968945,-0.74720526,-0.952086,0.23261786,-0.8770046,-0.8907337,-0.34798765,0.24314117,-1.279357,-0.9923439,1.020297,0.017166138,1.3712626,1.5505419,-0.48705292,0.5119066,0.2553401,0.2215147,0.26441193,3.1175919,1.1715474,2.5128107,0.50736046,2.0313368,1.5771813,0.7235246,0.5832157,1.7869983,-0.07139206,-0.12276554,0.32051706,0.25002718,0.31806898,0.58607817,-0.2721176,1.0077376,-0.27550268,1.6662607,0.9567785,1.402554,0.9595504,-0.15620661,-0.768435,-0.0018801689,-0.20191097,0.08105707,-0.6615019,1.5037789,1.3202667,1.5397916,0.105211735,-0.26559448,0.52107286,-0.7109957,-1.1760106,0.13849163,-0.056210995,-0.5406661,-0.5147047,1.2980986,1.585928,1.6369305,2.231986,2.2060308,0.3530202,2.0784478,1.4856248,3.1982212,2.251202,1.433063,1.0333238,1.4518194,0.8723073,-0.035656452,-0.1854558,1.9490724,1.6498966,1.2082953,1.5250783,0.77610445,2.040987,0.7088871,0.9871297,1.4522967,0.98317814,0.022502422,0.2281003,1.9679255,-0.38039303,0.73791695,0.7774892,0.3722248,0.42188454,2.5394144,3.182314,0.9345231,0.16302776,2.0855312,2.1910648,3.3513656,0.46664095,0.66437244,0.7441497,1.8032298,2.5002937,1.1296458
k5_cluster_0,astrocyte,k5_cluster_0,-1.2330875,-0.6603565,-0.9727464,-0.10796642,-0.7945194,-1.2605076,-1.3217034,-0.7147393,-1.3541212,-1.8790426,-1.1390033,-1.0366693,-0.2225585,0.68418837,-0.3522334,1.0923758,0.33909607,-1.1039658,-0.07608414,-0.07819176,0.09687519,0.8276906,-0.07460737,-0.39445353,-0.6446886,-0.4236622,-0.31861734,0.44178724,-0.6275244,-0.628777,-0.81630945,1.898397,1.7130251,-0.23591995,-0.7656431,2.080596,0.40756273,0.27984476,-0.08211994,0.5319567,0.46393633,1.7961397,1.0215392,0.71793556,-0.006848812,0.99992085,1.2785754,0.7931452,1.6555705,0.15849352,1.1328416,0.994153,1.3896227,0.36142874,0.47660875,0.7706294,0.7766814,0.45906162,2.6076775,0.28222513,0.4061613,0.83544445,0.6794448,0.2364831,-0.4806366,1.3291636,0.4398508,-0.8972168,-0.7400241,0.64019346,0.8495207,0.44946814,1.434103,0.1586771,-0.1282773,-0.62792015,-1.0968738,-0.046104908,1.2953134,0.268651,0.047428608,1.266634,0.8536844,3.2448325,2.8114467,3.0895214,2.0457978,3.079812,0.5470557,2.5613642,1.0213518,0.34833765,0.6803465,1.4320374,1.6961823,0.6042056,0.9756422,0.98480415,0.4726181,1.6817617,2.0310125,1.5720835,2.1343546,-0.14541101,2.0114589,1.3229532,0.5436821,-0.09158659,1.4739776,0.4310031,1.3978038,2.097252,0.80697346,1.6933637,0.9312668,2.699695,1.0575747,0.67855835,0.7091441,1.1549077,1.7958231,1.7563181,1.2065606,1.5322666,2.2959914,1.6263623,2.6850204,1.2150741
k5_cluster_0,cardiac muscle cell,k5_cluster_0,0.5356159,-1.3955426,-1.2974701,-0.46891403,-0.6701517,-0.5783148,-1.7490182,-1.9428425,-1.5692854,-1.2849236,-1.1663303,-0.832901,-0.76629543,-0.66429615,0.0011172295,-0.2653823,-0.5681629,-0.10497093,-0.5453248,-0.67852163,0.7151356,0.79068375,0.4748063,-0.858212,0.10089159,1.0280423,-0.93884325,-0.8414445,0.4119072,-0.23567057,-0.73618555,0.43518543,-0.5087929,0.18232346,0.43845463,0.76083946,-1.0108323,0.60301113,0.53352976,0.4308591,1.4790416,2.1428127,1.1103587,1.6350718,1.2748404,1.3793774,1.559958,1.5047121,1.5968108,0.7550216,0.9390044,0.7212372,0.78832626,1.7901168,0.32762575,-0.12573576,0.76209354,0.65590477,0.9427395,1.0247564,0.32479286,0.94421244,-0.026486397,-2.5637383,-0.20283556,1.039773,-0.42320538,-0.6806588,0.95043993,0.62644625,1.3032036,-0.16814041,1.3279943,-0.23517561,0.9732642,-0.70340776,-0.38982964,0.20040607,0.4262271,0.037094593,-0.25734615,-0.38649797,0.18413591,2.6598668,2.1983871,3.6528602,3.0877895,2.8313713,1.486763,2.15552,1.1090884,2.0765576,0.38305616,-0.3069396,0.15383244,0.17533827,0.10618353,1.7246771,1.497582,2.0808191,0.9419527,1.2074194,1.1279659,2.7179184,1.2029719,1.9381547,1.8145733,0.04057598,0.39206266,1.0327349,0.07724476,1.6536708,1.3846726,0.32527494,0.45315123,1.5353589,1.6848707,2.7200408,0.74829006,2.0269394,0.7556691,2.4502788,0.76529074,1.638567,1.9839425,1.6470075,1.8266897,2.105585
k5_cluster_0,retinal rod cell,k5_cluster_0,-0.17993546,-1.4302368,-0.88529825,-0.29676437,-0.40373898,-0.8458986,-1.1031699,-0.60828114,-1.1251836,-1.9491172,-1.392354,-1.2445798,0.92335844,0.13727474,-0.7032089,1.1006908,-1.0165534,-0.38264227,-0.8711567,-1.1170306,-1.7188749,0.95585537,-0.10879564,-0.92240906,0.9528389,1.0210052,-0.9478593,-0.29991913,0.44778728,-0.8007617,-0.36251116,0.87578726,0.47039366,-0.3481636,0.16840172,0.50697327,-0.89845514,1.602848,-0.5159683,0.5449276,0.9048891,1.0086045,0.8101754,0.7570653,-0.0001783371,1.5580664,0.83363724,0.43023443,1.6805224,0.7001438,0.008196354,0.2184906,0.98720026,0.88800526,0.4757924,0.5040922,0.07684517,0.8913846,0.7596221,1.6565256,0.044198513,1.2095494,-0.17441463,-0.23670197,-0.98044205,0.57026196,1.4205313,0.340106,0.017796993,-0.15029573,0.45050287,1.1932302,2.574007,1.078805,0.5919738,0.29888916,0.29289246,-0.058971882,0.4938135,-0.029992104,0.66974735,-0.14672804,1.3573704,1.5723577,2.6675138,2.9564757,2.1151538,1.9309821,0.6925006,2.0308018,0.15644455,1.9014759,0.15271807,-0.21740246,-0.14123297,-0.2465272,-0.17092991,1.5455251,0.25273132,0.77979946,0.58977556,0.95949554,2.9371796,0.16007185,0.4593854,2.0352988,0.4442153,1.4569259,1.5179124,1.3126512,0.70218086,2.118516,0.71009636,1.0528173,1.2023048,1.6259437,2.2982388,1.0079045,1.3123341,3.0483918,1.5359564,0.535789,1.7363381,1.1811385,1.0021482,0.41950178,1.1256852,1.956687
