source,target,distance,rank
B cell,mem. B cell,0.22675904798949387,1
B cell,plasma cell,0.2702214682105244,2
B cell,naive B cell,0.27026604121244735,3
B cell,"CD8+, alpha-beta T cell",0.28297859027091643,4
B cell,"CD4+, alpha-beta T cell",0.30172661481970553,5
B cell,innate lymphoid cell,0.3118921828042144,6
B cell,NK cell,0.3309513835814013,7
Bergmann glial cell,kidney distal convoluted tubule epith. cell,0.351056157460935,1
Bergmann glial cell,granulosa cell,0.38555467469270543,2
Bergmann glial cell,elicited macrophage,0.4224125673973028,3
Bergmann glial cell,macrophage,0.4268314832897162,4
Bergmann glial cell,T cell,0.42889163959985466,5
Bergmann glial cell,double negative thymocyte,0.4291366499869018,6
Bergmann glial cell,vascular assoc. smooth muscle cell,0.4294118826537786,7
"CD14-low, CD16+ monocyte",monocyte,0.3608952362606389,1
"CD14-low, CD16+ monocyte",mature NK T cell,0.3727108705365708,2
"CD14-low, CD16+ monocyte",non-classical monocyte,0.39257056075776575,3
"CD14-low, CD16+ monocyte",retina horizontal cell,0.4055001772938872,4
"CD14-low, CD16+ monocyte",CD14+ monocyte,0.4077498061328523,5
"CD14-low, CD16+ monocyte","central mem. CD4+, alpha-beta T cell",0.4085152966414116,6
"CD14-low, CD16+ monocyte",mem. B cell,0.4204209318425155,7
CD14+ monocyte,clas. monocyte,0.2797525484195622,1
CD14+ monocyte,monocyte,0.28273658358354026,2
CD14+ monocyte,macrophage,0.3282034959243393,3
CD14+ monocyte,mature NK T cell,0.33585586996507244,4
CD14+ monocyte,"CD14+, CD16- clas. monocyte",0.3397962981061299,5
CD14+ monocyte,vip GABAergic cortical interneuron,0.34295915530835563,6
CD14+ monocyte,pericyte,0.3508503588836749,7
"CD14+, CD16- clas. monocyte","CD14+, CD16+ monocyte",0.29679421261303573,1
"CD14+, CD16- clas. monocyte",monocyte,0.30027251427320845,2
"CD14+, CD16- clas. monocyte",clas. monocyte,0.32397446833683785,3
"CD14+, CD16- clas. monocyte",near-project. glutamatergic cortical neuron,0.33352825423246446,4
"CD14+, CD16- clas. monocyte",CD14+ monocyte,0.3397962981061299,5
"CD14+, CD16- clas. monocyte",macrophage,0.3506684544657972,6
"CD14+, CD16- clas. monocyte",kidney interstitial fibroblast,0.3517823222076275,7
"CD14+, CD16+ monocyte","CD14+, CD16- clas. monocyte",0.29679421261303573,1
"CD14+, CD16+ monocyte",monocyte,0.3040195445801781,2
"CD14+, CD16+ monocyte",kidney interstitial fibroblast,0.35171846692041386,3
"CD14+, CD16+ monocyte",goblet cell,0.38348639553764396,4
"CD14+, CD16+ monocyte",dendritic cell,0.3840316546815854,5
"CD14+, CD16+ monocyte","activated CD4+, alpha-beta T cell",0.39296105552453253,6
"CD14+, CD16+ monocyte",mature alpha-beta T cell,0.3935780012469682,7
"CD16-, CD56-bright NK cell",NK cell,0.29800172475270037,1
"CD16-, CD56-bright NK cell","CD16+, CD56-dim NK cell",0.30459568217348043,2
"CD16-, CD56-bright NK cell",mature NK T cell,0.34664949976520154,3
"CD16-, CD56-bright NK cell",innate lymphoid cell,0.34773796362091525,4
"CD16-, CD56-bright NK cell",naive B cell,0.3490172863380808,5
"CD16-, CD56-bright NK cell",kidney loop Henle thick asc. limb epith. cell,0.35098955137988697,6
"CD16-, CD56-bright NK cell",chandelier pvalb GABAergic cortical interneuron,0.3527445410200245,7
"CD16+, CD56-dim NK cell",NK cell,0.2041820816824922,1
"CD16+, CD56-dim NK cell","CD8+, alpha-beta cytotoxic T cell",0.3008743706678396,2
"CD16+, CD56-dim NK cell","CD16-, CD56-bright NK cell",0.30459568217348043,3
"CD16+, CD56-dim NK cell","effector CD8+, alpha-beta T cell",0.3046786348524727,4
"CD16+, CD56-dim NK cell",mature NK T cell,0.3108732723233625,5
"CD16+, CD56-dim NK cell",T follicular helper cell,0.3200114170686238,6
"CD16+, CD56-dim NK cell","CD8+, alpha-beta T cell",0.3245537930194269,7
CD1c+ myeloid dendritic cell,dendritic cell,0.3277865811644617,1
CD1c+ myeloid dendritic cell,macrophage,0.3329064794726636,2
CD1c+ myeloid dendritic cell,clas. monocyte,0.3627896250339654,3
CD1c+ myeloid dendritic cell,conventional dendritic cell,0.3646518988667814,4
CD1c+ myeloid dendritic cell,intermediate monocyte,0.37112807614759924,5
CD1c+ myeloid dendritic cell,CD14+ monocyte,0.37925109993792305,6
CD1c+ myeloid dendritic cell,nasal mucosa goblet cell,0.38386434064728037,7
CD4+ helper T cell,innate lymphoid cell,0.12474830979592422,1
CD4+ helper T cell,"CD4+, alpha-beta T cell",0.17761156307403925,2
CD4+ helper T cell,"CD4+, alpha-beta mem. T cell",0.1815619504692505,3
CD4+ helper T cell,T follicular helper cell,0.1866066773416417,4
CD4+ helper T cell,mem. T cell,0.1955290740717298,5
CD4+ helper T cell,"naive thym.-der. CD4+, alpha-beta T cell",0.20673274718848655,6
CD4+ helper T cell,T cell,0.2206687989964421,7
"CD4+, alpha-beta T cell","CD8+, alpha-beta T cell",0.14125097587368662,1
"CD4+, alpha-beta T cell",CD4+ helper T cell,0.17761156307403925,2
"CD4+, alpha-beta T cell",regulatory T cell,0.18871756255166594,3
"CD4+, alpha-beta T cell","naive thym.-der. CD4+, alpha-beta T cell",0.2031232085878628,4
"CD4+, alpha-beta T cell",mem. T cell,0.20445835091118636,5
"CD4+, alpha-beta T cell",innate lymphoid cell,0.22850347837852147,6
"CD4+, alpha-beta T cell",T follicular helper cell,0.2305149508056703,7
"CD4+, alpha-beta cytotoxic T cell","CD8+, alpha-beta cytotoxic T cell",0.19876052950775558,1
"CD4+, alpha-beta cytotoxic T cell","effector mem. CD8+, alpha-beta T cell",0.20588760982235677,2
"CD4+, alpha-beta cytotoxic T cell","effector CD8+, alpha-beta T cell",0.266994966963628,3
"CD4+, alpha-beta cytotoxic T cell","central mem. CD8+, alpha-beta T cell",0.27364959234687647,4
"CD4+, alpha-beta cytotoxic T cell",nasal mucosa goblet cell,0.2748063419264889,5
"CD4+, alpha-beta cytotoxic T cell",gamma-delta T cell,0.279402810375057,6
"CD4+, alpha-beta cytotoxic T cell","effector mem. CD4+, alpha-beta T cell",0.2871596143263033,7
"CD4+, alpha-beta mem. T cell",CD4+ helper T cell,0.1815619504692505,1
