,EIF1,PSMB5,ANKRD11,PTMA,HSP90B1,TFAM,C17orf58,ACTB,YEATS2,RPL41,SIN3A,HSPA8,GRSF1,RAC3,ATP2A2,JAZF1,MRPL34,HSD17B10,TPT1,HSPD1,MRPL24,MCMBP,GFM1,ZBTB17,TRNT1,SPCS3,DLD,RSL1D1,CSE1L,DNMT1,PAXBP1,PHAX,THAP1,MRPL16,SSU72,YEATS4,MVK,RBMX2,EXOSC2,PSMG3,EEF2,GPS1,TSR1,PSMA4,NUP107,MRPL36,CYS1,OGFOD1,TTI1,UBA2,HNRNPL
EIF1,1.0,0.7158302,0.42440444,0.7144852,0.7215441,0.37073514,0.11499413,-0.21381788,-0.33596554,0.7732824,-0.45452708,-0.035411857,-0.34579724,0.6436936,-0.16589542,0.48587397,0.45048937,0.2112034,0.8033252,0.74920785,0.22777164,-0.44147396,-0.33593616,-0.5574508,-0.087352246,0.038020104,0.1763553,0.70869523,0.21602558,0.016578173,0.15899919,-0.017718611,-0.3882624,0.27475277,0.5084489,-0.22417356,-0.47564298,0.48923737,-0.17213216,-0.06995712,-0.0042436384,-0.08768221,-0.26353526,0.47996464,0.13013907,0.34606588,-0.3255573,-0.34643587,-0.32643476,0.22828916,-0.3879897
PSMB5,0.7158302,1.0,0.053841937,0.8822274,0.7265303,0.43670556,0.27732724,-0.3898578,-0.5382699,0.85359377,-0.6216151,-0.22615033,-0.5165448,0.7180935,-0.2771154,0.50761384,0.6356976,0.19884348,0.80885696,0.8239032,0.17606376,-0.59787995,-0.43453416,-0.66383255,-0.11051373,-0.08551588,0.113496214,0.88227373,0.21505271,-0.050170027,0.28407535,-0.14410104,-0.4094698,0.43115622,0.43533772,-0.38908178,-0.5916559,0.57646346,-0.29158598,-0.09709518,-0.26218918,-0.14481673,-0.39797884,0.56659734,0.118848264,0.5486375,-0.23558022,-0.48232368,-0.46615982,0.23396306,-0.50766426
ANKRD11,0.42440444,0.053841937,1.0,0.15641862,0.3079057,6.499687e-05,-0.20712988,0.1471749,0.016705085,0.25846848,-0.03251193,0.08309143,0.060523044,0.1804059,0.19862688,0.028178997,-0.15097351,0.003895831,0.28634086,0.22172223,0.12526493,-0.009391812,-0.08790814,-0.10145516,-0.12196735,0.2875167,-0.07590241,0.07318088,0.052610226,-0.001989181,-0.06644596,0.19153109,-0.13307448,-0.23041062,0.3217093,0.014258511,0.0066072396,0.068926044,-0.057238143,-0.12207817,0.19431962,0.095009916,-0.023881989,0.055910654,-0.043177377,-0.017411156,-0.3801675,-0.057870857,-0.02447866,0.04298567,-0.0576407
PTMA,0.7144852,0.8822274,0.15641862,1.0,0.7740308,0.4538277,0.2267319,-0.3606411,-0.49704596,0.8619538,-0.5705525,-0.18895625,-0.46928176,0.7405805,-0.28349438,0.5933036,0.5282312,0.13195845,0.8088039,0.87513,0.335598,-0.5573558,-0.41952312,-0.6539957,-0.09282649,-0.12689696,0.106953464,0.88109964,0.26633987,-0.029063597,0.3015479,-0.11914077,-0.4378676,0.40385163,0.39696392,-0.39187708,-0.58794236,0.6396389,-0.18400224,-0.09226417,-0.21184976,-0.07038952,-0.35887292,0.6107241,0.15244973,0.43395278,-0.2861027,-0.47498202,-0.4458652,0.2620858,-0.45749718
HSP90B1,0.7215441,0.7265303,0.3079057,0.7740308,1.0,0.17112732,0.0070065022,-0.47583687,-0.57802933,0.80099195,-0.6905531,-0.36574697,-0.5608865,0.6916109,-0.47610202,0.595242,0.32643062,-0.07555547,0.7973352,0.7896158,0.17068434,-0.6550987,-0.5630245,-0.7511156,-0.30673438,-0.26637763,-0.15782395,0.7770335,0.053879846,-0.26098245,0.021077337,-0.23963907,-0.62027967,0.13078888,0.28531644,-0.52339274,-0.6045009,0.6188804,-0.4210198,-0.34586978,-0.39757374,-0.12298329,-0.5654406,0.31706205,-0.10008644,0.3471817,-0.14478119,-0.59491175,-0.56180704,-0.017695177,-0.59726316
TFAM,0.37073514,0.43670556,6.499687e-05,0.4538277,0.17112732,1.0,0.59635156,0.3492189,0.23371135,0.28461635,0.20288105,0.48297134,0.19830304,0.31777644,0.37242264,0.40391758,0.62329024,0.7202531,0.13118455,0.4803062,0.50922453,0.15619649,0.4049185,0.028090132,0.51255435,0.4310989,0.6684426,0.34027475,0.6392443,0.54685736,0.7739089,0.38267824,0.22739461,0.68424666,0.5999672,0.37621778,0.010902402,0.46604192,0.5098101,0.56280077,0.3905966,0.2649944,0.39963236,0.7462281,0.7329016,0.42506197,-0.49379542,0.25522298,0.31965306,0.75026214,0.32287848
C17orf58,0.11499413,0.27732724,-0.20712988,0.2267319,0.0070065022,0.59635156,1.0,0.18062751,0.14601725,0.15118034,0.18261492,0.2982367,0.12828761,0.18649165,0.23922312,0.32931378,0.61665213,0.5720535,0.026394153,0.21006224,0.33064136,0.11808178,0.32990292,0.03819615,0.4535849,0.25904655,0.56380796,0.20403649,0.37654826,0.37189144,0.63578963,0.09490882,0.2512456,0.7168571,0.31967545,0.28133258,-0.082844794,0.19449773,0.43524376,0.48371574,0.25940514,0.16509512,0.28650597,0.5249653,0.5507796,0.37826556,-0.2417161,0.250453,0.23117186,0.51959234,0.27358484
ACTB,-0.21381788,-0.3898578,0.1471749,-0.3606411,-0.47583687,0.3492189,0.18062751,1.0,0.86612105,-0.46902958,0.8874116,0.89855814,0.88152987,-0.46768102,0.87192076,-0.37634432,-0.017649936,0.52099997,-0.58502895,-0.27310333,0.3465393,0.902185,0.81713843,0.73992413,0.62683576,0.7672056,0.54247373,-0.58554953,0.5712883,0.779623,0.44234583,0.832421,0.7267143,0.10840985,0.41177315,0.8618095,0.7516411,-0.15138145,0.80852354,0.66267735,0.83915603,0.53307575,0.9210049,0.2859238,0.5832854,-0.018993255,-0.42003796,0.8634682,0.8414535,0.5579223,0.88915545
YEATS2,-0.33596554,-0.5382699,0.016705085,-0.49704596,-0.57802933,0.23371135,0.14601725,0.86612105,1.0,-0.60780585,0.9142049,0.7663058,0.8365641,-0.55829364,0.7581512,-0.35666966,-0.107226014,0.4615976,-0.68029034,-0.40407342,0.28680396,0.8839934,0.84190774,0.8224324,0.69558465,0.60631174,0.49844763,-0.66473174,0.4586404,0.6794833,0.42459697,0.65521777,0.7210265,0.1250356,0.20713508,0.84702766,0.75373966,-0.15567607,0.7872843,0.67243505,0.7217489,0.45690176,0.85855204,0.16310188,0.5432301,-0.18431547,-0.30553445,0.86185735,0.8730804,0.4787657,0.90440136
RPL41,0.7732824,0.85359377,0.25846848,0.8619538,0.80099195,0.28461635,0.15118034,-0.46902958,-0.60780585,1.0,-0.71849114,-0.3585757,-0.6075107,0.7076089,-0.43831486,0.59275836,0.42708927,-0.027624601,0.9093641,0.8342337,0.14081548,-0.67330754,-0.5852127,-0.7503097,-0.29681328,-0.2250593,-0.01760535,0.88719445,0.04292603,-0.22714636,0.07283273,-0.27370656,-0.55581826,0.25127655,0.3022112,-0.49277925,-0.70877504,0.575534,-0.40144652,-0.23332329,-0.2690648,-0.25534663,-0.53463966,0.4057543,-0.04430284,0.3798942,-0.14983773,-0.62068963,-0.5917412,0.05082691,-0.6159337
SIN3A,-0.45452708,-0.6216151,-0.03251193,-0.5705525,-0.6905531,0.20288105,0.18261492,0.8874116,0.9142049,-0.71849114,1.0,0.82352316,0.89443815,-0.63442177,0.8296741,-0.43541813,-0.12632291,0.48372275,-0.7798572,-0.4953803,0.23885544,0.9533554,0.8898768,0.8632596,0.6572432,0.64517164,0.51708364,-0.7568685,0.45807028,0.70801955,0.3789909,0.66105807,0.79270506,0.10856931,0.18839234,0.8767322,0.82864434,-0.33658025,0.8225029,0.6916156,0.7513872,0.51695055,0.91351986,0.11081855,0.51753634,-0.17136672,-0.24508743,0.92298996,0.91193426,0.43840963,0.9439957
HSPA8,-0.035411857,-0.22615033,0.08309143,-0.18895625,-0.36574697,0.48297134,0.2982367,0.89855814,0.7663058,-0.3585757,0.82352316,1.0,0.8419194,-0.3418589,0.8578398,-0.24448334,0.21284625,0.65721303,-0.4331221,-0.073886015,0.39583713,0.8193581,0.82823825,0.64741296,0.7068347,0.78667134,0.683508,-0.40392396,0.69622284,0.8498182,0.539028,0.7944657,0.66757417,0.34759116,0.5409411,0.82922083,0.63010514,-0.049705863,0.84608865,0.711364,0.8519286,0.5777437,0.90785223,0.4462098,0.69724023,0.11382826,-0.43414694,0.85057163,0.82833755,0.65394163,0.85698223
GRSF1,-0.34579724,-0.5165448,0.060523044,-0.46928176,-0.5608865,0.19830304,0.12828761,0.88152987,0.8365641,-0.6075107,0.89443815,0.8419194,1.0,-0.5964125,0.8371695,-0.4685046,-0.08843926,0.43346167,-0.66567093,-0.37640497,0.25483894,0.9075788,0.8214073,0.7881969,0.6195173,0.7482438,0.48621532,-0.69024223,0.49343118,0.71242774,0.36458912,0.7592052,0.7688861,0.04666339,0.32075894,0.8360679,0.78400385,-0.24352145,0.7803704,0.6324382,0.76281655,0.56937665,0.89674485,0.1320295,0.4841687,-0.122180924,-0.30521694,0.8825619,0.8467631,0.45062047,0.8866522
RAC3,0.6436936,0.7180935,0.1804059,0.7405805,0.6916109,0.31777644,0.18649165,-0.46768102,-0.55829364,0.7076089,-0.63442177,-0.3418589,-0.5964125,1.0,-0.38999397,0.54658914,0.46756122,0.0337102,0.6820707,0.695054,0.2999407,-0.61630183,-0.49004596,-0.6349947,-0.19708477,-0.21000014,-0.073166,0.7806253,0.055858936,-0.17572053,0.20693271,-0.24727558,-0.51712286,0.31611598,0.29330763,-0.41250783,-0.6785177,0.6197697,-0.22328651,-0.2003499,-0.34718293,-0.07967064,-0.46453083,0.35185924,0.04635972,0.39483383,-0.26952526,-0.546978,-0.48390314,0.16913414,-0.52942175
