,EIF1,PSMB5,ANKRD11,PTMA,HSP90B1,TFAM,C17orf58,ACTB,YEATS2,RPL41,SIN3A,HSPA8,GRSF1,RAC3,ATP2A2,JAZF1,MRPL34,HSD17B10,TPT1,HSPD1,MRPL24,MCMBP,GFM1,ZBTB17,TRNT1,SPCS3,DLD,RSL1D1,CSE1L,DNMT1,PAXBP1,PHAX,THAP1,MRPL16,SSU72,YEATS4,MVK,RBMX2,EXOSC2,PSMG3,EEF2,GPS1,TSR1,PSMA4,NUP107,MRPL36,CYS1,OGFOD1,TTI1,UBA2,HNRNPL
EIF1,0.048810746520757675,0.3213869035243988,0.28605544567108154,0.2940274178981781,0.3009416162967682,0.4946991503238678,0.21434089541435242,0.5105729699134827,0.024803102016448975,0.3743845820426941,0.18601585924625397,0.40247228741645813,0.351732462644577,0.047831788659095764,0.27144432067871094,0.12404555082321167,0.38564497232437134,0.37076815962791443,0.2805531919002533,0.4489545226097107,0.05419604852795601,-0.04811717942357063,0.12176057696342468,0.09542088955640793,0.18544642627239227,0.1861429065465927,0.12416135519742966,0.2926168143749237,0.13949500024318695,0.31607380509376526,0.43861639499664307,0.15346719324588776,-0.19701531529426575,0.4809988737106323,0.3300821781158447,0.20584352314472198,0.29217252135276794,-0.11301873624324799,0.024891948327422142,0.19322951138019562,0.5069629549980164,0.10257936269044876,0.1938304305076599,0.2426346242427826,0.6214115619659424,0.23106496036052704,-0.15449289977550507,0.05369444936513901,-0.009650013409554958,0.43143561482429504,0.40372389554977417
PSMB5,0.04630877822637558,0.26736125349998474,0.2271159142255783,0.2494385838508606,0.27282726764678955,0.4089708924293518,0.12968087196350098,0.4131515622138977,-0.06147808954119682,0.3287750482559204,0.1553400605916977,0.3451882004737854,0.28425997495651245,0.05434846132993698,0.23820218443870544,0.11107996851205826,0.29741039872169495,0.2781091630458832,0.3220214247703552,0.3850858211517334,-0.003388903336599469,-0.07440462708473206,0.08972826600074768,0.022056452929973602,0.1451258510351181,0.16889588534832,0.08177632838487625,0.2677214741706848,0.0940312072634697,0.20572125911712646,0.27759966254234314,0.06912483274936676,-0.11832945793867111,0.37278878688812256,0.28150448203086853,0.1908729076385498,0.2831273674964905,-0.028626523911952972,0.03422504663467407,0.17724727094173431,0.4362514317035675,0.043773993849754333,0.15801817178726196,0.20333358645439148,0.46424540877342224,0.23816733062267303,-0.21430733799934387,0.013307735323905945,-0.07837951928377151,0.2920624613761902,0.2495914101600647
ANKRD11,0.8571518659591675,1.0894315242767334,0.9202198386192322,1.4137179851531982,1.1941701173782349,0.8582659363746643,0.4345532953739166,1.651228666305542,0.16595210134983063,1.5671579837799072,0.44618964195251465,1.33619225025177,0.7375528812408447,0.413080632686615,0.6928475499153137,0.21461327373981476,0.8424239754676819,0.9162466526031494,1.2894548177719116,1.5348438024520874,0.19635523855686188,0.3349555730819702,0.4789235293865204,0.0834844559431076,0.39494025707244873,0.7039512991905212,0.5599071383476257,1.1091997623443604,0.5868452787399292,0.9270283579826355,0.5739907026290894,0.44423702359199524,-0.018752004951238632,0.721966028213501,0.8815521597862244,0.543953001499176,0.4400041401386261,0.15671296417713165,0.3076449930667877,0.7249943017959595,1.5505011081695557,0.533657431602478,0.7469082474708557,0.9945555925369263,0.8488876819610596,0.7631608247756958,-0.5101626515388489,0.300108402967453,0.07371479272842407,0.9103808999061584,0.8631623387336731
PTMA,-0.7750245332717896,-0.46605902910232544,-0.2906922399997711,-0.6953571438789368,-0.5405744910240173,-0.10882941633462906,-0.04293001815676689,-0.7722768783569336,-0.218192920088768,-0.8574631810188293,-0.17115367949008942,-0.6222088932991028,-0.23068861663341522,-0.2942543923854828,-0.25968798995018005,-0.05098020285367966,-0.11261072009801865,-0.15724670886993408,-0.6980981230735779,-0.6132322549819946,-0.2928222119808197,-0.5104586482048035,-0.27427077293395996,-0.02600865624845028,-0.14391392469406128,-0.33804282546043396,-0.33359208703041077,-0.43670740723609924,-0.39129772782325745,-0.3580474853515625,0.014297525398433208,-0.1968962401151657,-0.17691542208194733,-0.11618421226739883,-0.2123887687921524,-0.2314639687538147,0.14762108027935028,-0.28762489557266235,-0.3046540319919586,-0.27826282382011414,-0.6458451151847839,-0.2207692712545395,-0.3814619183540344,-0.5225675106048584,0.13228760659694672,-0.30617639422416687,0.20644398033618927,-0.28258073329925537,-0.24912168085575104,-0.20201364159584045,-0.26320457458496094
HSP90B1,0.2676084339618683,0.49880313873291016,0.4262683093547821,0.5919197201728821,0.47673845291137695,0.48940572142601013,0.23514437675476074,0.7459084987640381,0.15951697528362274,0.6310456395149231,0.22512243688106537,0.6262885928153992,0.4014662802219391,0.14264515042304993,0.36581873893737793,0.149730384349823,0.4221653342247009,0.4272754192352295,0.5106245875358582,0.6629953384399414,0.14893636107444763,0.059171926230192184,0.23361462354660034,0.06281635910272598,0.22892442345619202,0.283550888299942,0.23552078008651733,0.4001889228820801,0.2539450228214264,0.3843405544757843,0.3884577751159668,0.21866106986999512,-0.06992287933826447,0.5111618638038635,0.38921430706977844,0.30649828910827637,0.2506408989429474,-0.018556538969278336,0.10637834668159485,0.3143370449542999,0.6932260990142822,0.22748836874961853,0.33216458559036255,0.42803147435188293,0.5310342907905579,0.36349400877952576,-0.24606478214263916,0.1406930685043335,0.04845968633890152,0.4585227966308594,0.4703602194786072
TFAM,0.22301596403121948,0.43951648473739624,0.42578601837158203,0.5370841026306152,0.5457617044448853,0.5226614475250244,0.23114658892154694,0.6931040287017822,0.02601560764014721,0.5876381993293762,0.19497723877429962,0.572383463382721,0.3564118444919586,0.13543015718460083,0.37740129232406616,0.1276063472032547,0.4112848937511444,0.45766136050224304,0.4833710193634033,0.6222335696220398,0.021163763478398323,-0.005411500111222267,0.09641226381063461,0.006004618480801582,0.1932966411113739,0.26315492391586304,0.15819478034973145,0.38039153814315796,0.19361275434494019,0.3712664246559143,0.41013237833976746,0.17998620867729187,-0.11593116819858551,0.4963827431201935,0.4186007082462311,0.261775940656662,0.3744038939476013,-0.11541049927473068,0.05641086399555206,0.2534361183643341,0.6532225608825684,0.1441575139760971,0.21290823817253113,0.35822805762290955,0.6180455684661865,0.3217756748199463,-0.28632470965385437,0.0601169690489769,-0.03520406037569046,0.507733166217804,0.44405925273895264
C17orf58,-0.3132016360759735,-0.016667289659380913,-0.024357538670301437,-0.13765813410282135,-0.10165257006883621,0.17285124957561493,0.08790622651576996,-0.006781920790672302,0.0696839690208435,-0.15015050768852234,0.06773415952920914,-0.061324410140514374,0.11796250194311142,-0.074594646692276,0.06104089692234993,0.059425417333841324,0.09274252504110336,0.07377331703901291,-0.17758186161518097,-0.04546039178967476,-0.05566754192113876,-0.08621549606323242,-0.010480902157723904,0.08714431524276733,0.03666933625936508,-0.01231225673109293,-0.07235688716173172,-0.11613360792398453,-0.08366871625185013,0.002398739568889141,0.10955680906772614,0.010520244017243385,-0.05199170857667923,0.13706909120082855,0.0029997548554092646,0.06874652206897736,0.23341131210327148,-0.14734767377376556,-0.06016077473759651,0.07184436917304993,-0.022610826417803764,0.015921158716082573,-0.0415966771543026,-0.15833741426467896,0.26156771183013916,-0.03732958063483238,0.023380596190690994,-0.08007422834634781,-0.06847118586301804,0.06484820693731308,0.1441754847764969
ACTB,0.1255050003528595,0.45610353350639343,0.464498907327652,0.48552650213241577,0.4537157416343689,0.5766808986663818,0.25695866346359253,0.6768423914909363,-0.01134776696562767,0.5451273918151855,0.22340407967567444,0.5317435264587402,0.3943343758583069,0.10014909505844116,0.35732966661453247,0.16490598022937775,0.4327849745750427,0.44559603929519653,0.42710140347480774,0.6075082421302795,0.08200813084840775,-0.08193863183259964,0.11807221919298172,0.008448793552815914,0.20447880029678345,0.25371721386909485,0.16925957798957825,0.3404849171638489,0.248099222779274,0.31864961981773376,0.4602869153022766,0.1726822704076767,-0.11196596175432205,0.5339694023132324,0.4132552742958069,0.2772843539714813,0.3311379849910736,-0.11120465397834778,0.006517728790640831,0.23133064806461334,0.6364474892616272,0.10444725304841995,0.18048860132694244,0.27054545283317566,0.6518308520317078,0.32242077589035034,-0.22072024643421173,0.07149530202150345,-0.05395573005080223,0.4428630471229553,0.4630221128463745
YEATS2,0.49889224767684937,0.7246617078781128,0.6129193305969238,0.9867347478866577,0.8225493431091309,0.7312403917312622,0.28489845991134644,1.1983832120895386,0.19320477545261383,1.1117804050445557,0.371244341135025,0.9305623769760132,0.5217727422714233,0.22639356553554535,0.5163968801498413,0.1592574417591095,0.6020790934562683,0.5855511426925659,0.8622367978096008,1.0360571146011353,0.14384378492832184,0.14414240419864655,0.37137430906295776,0.1034708023071289,0.346081018447876,0.5076333284378052,0.4169441759586334,0.6728623509407043,0.41130128502845764,0.6566755175590515,0.48896563053131104,0.34645313024520874,-0.031602878123521805,0.643456220626831,0.6018679141998291,0.4658660292625427,0.3416307866573334,0.07518456131219864,0.16220125555992126,0.5132217407226562,1.1061021089553833,0.27085810899734497,0.47566384077072144,0.6658461093902588,0.7302236557006836,0.57830411195755,-0.38296809792518616,0.2663770318031311,0.07515556365251541,0.6441419124603271,0.6894011497497559
RPL41,-0.19093574583530426,0.09380162507295609,0.2054092437028885,0.043697141110897064,0.061467595398426056,0.3485563099384308,0.11535762995481491,0.2588440775871277,0.047758664935827255,0.034007638692855835,0.17086294293403625,0.20140478014945984,0.23895779252052307,-0.07389577478170395,0.261338472366333,0.10707849264144897,0.23365022242069244,0.20816496014595032,-0.011445139534771442,0.12632054090499878,-0.11969971656799316,-0.16422083973884583,0.05300432816147804,0.06752043217420578,0.13522247970104218,0.03449263423681259,-0.031069882214069366,0.058258939534425735,-0.014560947194695473,0.11716790497303009,0.3010146915912628,0.04630042612552643,-0.07448000460863113,0.2599078416824341,0.17654746770858765,0.15051963925361633,0.3272574841976166,-0.1204536110162735,-0.0473942868411541,0.1195911094546318,0.22423219680786133,0.03491708263754845,0.050659507513046265,-0.025275856256484985,0.4835667312145233,0.072683185338974,-0.0598343089222908,-0.05794106051325798,-0.11125598102807999,0.19339372217655182,0.2682269215583801
