row_perturbation,row_gene,target_perturbation_gene,target_gene,decoder_delta_vs_control,abs_decoder_delta_vs_control,rank_abs_decoder_delta_within_row,is_top_k_abs_attribution,decoded_sample_mean_corr,abs_decoded_sample_mean_corr
EIF1,EIF1,PSMB5,PSMB5,0.3213869035243988,0.3213869035243988,16,False,0.7158302068710327,0.7158302068710327
EIF1,EIF1,ANKRD11,ANKRD11,0.28605544567108154,0.28605544567108154,22,False,0.42440444231033325,0.42440444231033325
EIF1,EIF1,PTMA,PTMA,0.2940274178981781,0.2940274178981781,19,False,0.714485228061676,0.714485228061676
EIF1,EIF1,HSP90B1,HSP90B1,0.3009416162967682,0.3009416162967682,18,False,0.721544086933136,0.721544086933136
EIF1,EIF1,TFAM,TFAM,0.4946991503238678,0.4946991503238678,4,True,0.37073513865470886,0.37073513865470886
EIF1,EIF1,C17orf58,C17orf58,0.21434089541435242,0.21434089541435242,27,False,0.11499413102865219,0.11499413102865219
EIF1,EIF1,ACTB,ACTB,0.5105729699134827,0.5105729699134827,2,True,-0.21381787955760956,0.21381787955760956
EIF1,EIF1,YEATS2,YEATS2,0.024803102016448975,0.024803102016448975,50,False,-0.3359655439853668,0.3359655439853668
EIF1,EIF1,RPL41,RPL41,0.3743845820426941,0.3743845820426941,12,False,0.7732824087142944,0.7732824087142944
EIF1,EIF1,SIN3A,SIN3A,0.18601585924625397,0.18601585924625397,33,False,-0.4545270800590515,0.4545270800590515
EIF1,EIF1,HSPA8,HSPA8,0.40247228741645813,0.40247228741645813,10,True,-0.035411857068538666,0.035411857068538666
EIF1,EIF1,GRSF1,GRSF1,0.351732462644577,0.351732462644577,14,False,-0.34579724073410034,0.34579724073410034
EIF1,EIF1,RAC3,RAC3,0.047831788659095764,0.047831788659095764,48,False,0.6436936259269714,0.6436936259269714
EIF1,EIF1,ATP2A2,ATP2A2,0.27144432067871094,0.27144432067871094,24,False,-0.16589541733264923,0.16589541733264923
EIF1,EIF1,JAZF1,JAZF1,0.12404555082321167,0.12404555082321167,39,False,0.4858739674091339,0.4858739674091339
EIF1,EIF1,MRPL34,MRPL34,0.38564497232437134,0.38564497232437134,11,False,0.4504893720149994,0.4504893720149994
EIF1,EIF1,HSD17B10,HSD17B10,0.37076815962791443,0.37076815962791443,13,False,0.21120339632034302,0.21120339632034302
EIF1,EIF1,TPT1,TPT1,0.2805531919002533,0.2805531919002533,23,False,0.8033251762390137,0.8033251762390137
EIF1,EIF1,HSPD1,HSPD1,0.4489545226097107,0.4489545226097107,6,True,0.7492078542709351,0.7492078542709351
EIF1,EIF1,MRPL24,MRPL24,0.05419604852795601,0.05419604852795601,44,False,0.22777163982391357,0.22777163982391357
EIF1,EIF1,MCMBP,MCMBP,-0.04811717942357063,0.04811717942357063,47,False,-0.44147396087646484,0.44147396087646484
EIF1,EIF1,GFM1,GFM1,0.12176057696342468,0.12176057696342468,40,False,-0.33593615889549255,0.33593615889549255
EIF1,EIF1,ZBTB17,ZBTB17,0.09542088955640793,0.09542088955640793,43,False,-0.5574507713317871,0.5574507713317871
EIF1,EIF1,TRNT1,TRNT1,0.18544642627239227,0.18544642627239227,34,False,-0.08735224604606628,0.08735224604606628
EIF1,EIF1,SPCS3,SPCS3,0.1861429065465927,0.1861429065465927,32,False,0.03802010416984558,0.03802010416984558
EIF1,EIF1,DLD,DLD,0.12416135519742966,0.12416135519742966,38,False,0.1763553023338318,0.1763553023338318
EIF1,EIF1,RSL1D1,RSL1D1,0.2926168143749237,0.2926168143749237,20,False,0.7086952328681946,0.7086952328681946
EIF1,EIF1,CSE1L,CSE1L,0.13949500024318695,0.13949500024318695,37,False,0.21602557599544525,0.21602557599544525
EIF1,EIF1,DNMT1,DNMT1,0.31607380509376526,0.31607380509376526,17,False,0.016578173264861107,0.016578173264861107
EIF1,EIF1,PAXBP1,PAXBP1,0.43861639499664307,0.43861639499664307,7,True,0.15899918973445892,0.15899918973445892
EIF1,EIF1,PHAX,PHAX,0.15346719324588776,0.15346719324588776,36,False,-0.017718611285090446,0.017718611285090446
EIF1,EIF1,THAP1,THAP1,-0.19701531529426575,0.19701531529426575,29,False,-0.38826239109039307,0.38826239109039307
EIF1,EIF1,MRPL16,MRPL16,0.4809988737106323,0.4809988737106323,5,True,0.27475276589393616,0.27475276589393616
EIF1,EIF1,SSU72,SSU72,0.3300821781158447,0.3300821781158447,15,False,0.5084488987922668,0.5084488987922668
EIF1,EIF1,YEATS4,YEATS4,0.20584352314472198,0.20584352314472198,28,False,-0.22417356073856354,0.22417356073856354
EIF1,EIF1,MVK,MVK,0.29217252135276794,0.29217252135276794,21,False,-0.47564297914505005,0.47564297914505005
EIF1,EIF1,RBMX2,RBMX2,-0.11301873624324799,0.11301873624324799,41,False,0.48923736810684204,0.48923736810684204
