label,mean_label,perturbation,gene,gene_index,is_mapped_to_decoder_gene
0,0,EIF1,EIF1,1374.0,True
1,1,PSMB5,PSMB5,3602.0,True
2,2,ANKRD11,ANKRD11,241.0,True
3,3,PTMA,PTMA,3643.0,True
4,4,NFRKB,,,False
5,5,HSP90B1,HSP90B1,2089.0,True
6,6,TFAM,TFAM,4647.0,True
7,7,CSNK2B,,,False
8,8,C17orf58,C17orf58,571.0,True
9,9,MED19,,,False
10,10,SETDB1,,,False
11,11,UXS1,,,False
12,12,ACTB,ACTB,112.0,True
13,13,WTAP,,,False
14,14,YEATS2,YEATS2,5224.0,True
15,15,RPL41,RPL41,3941.0,True
16,16,MRPS28,,,False
17,17,SIN3A,SIN3A,4182.0,True
18,18,HSPA8,HSPA8,2096.0,True
19,19,GRSF1,GRSF1,1871.0,True
20,20,RAC3,RAC3,3713.0,True
21,21,ATP2A2,ATP2A2,399.0,True
22,22,GRB2,,,False
23,23,JAZF1,JAZF1,6097.0,True
24,24,MRPL38,,,False
25,25,PABPN1,,,False
26,26,MRPL34,MRPL34,2750.0,True
27,27,NUDCD3,,,False
28,28,MRPS27,,,False
29,29,HSD17B10,HSD17B10,2080.0,True
30,30,MRPL4,,,False
31,31,TPT1,TPT1,4844.0,True
32,32,HSPD1,HSPD1,2101.0,True
33,33,MRPL24,MRPL24,2749.0,True
34,34,MRPS35,,,False
35,35,ISCA2,,,False
36,36,MCMBP,MCMBP,2602.0,True
37,37,MRPL54,,,False
38,38,SLC39A7,,,False
39,39,PMPCB,,,False
40,40,MRPL27,,,False
41,41,MRPL39,,,False
42,42,INO80B,,,False
43,43,TARS2,,,False
44,44,UPF2,,,False
45,45,GFM1,GFM1,1773.0,True
46,46,ZBTB17,ZBTB17,5251.0,True
47,47,RGPD6,,,False
48,48,TRNT1,TRNT1,4906.0,True
49,49,SPCS3,SPCS3,4398.0,True
50,50,DLD,DLD,1226.0,True
51,51,CLASRP,,,False
52,52,SMG5,,,False
53,53,DDX46,,,False
54,54,RSL1D1,RSL1D1,4001.0,True
55,55,CSE1L,CSE1L,1038.0,True
56,56,TARDBP,,,False
57,57,INTS8,,,False
58,58,SRP72,,,False
59,59,DNMT1,DNMT1,1265.0,True
60,60,PAXBP1,PAXBP1,3217.0,True
61,61,PHAX,PHAX,3310.0,True
62,62,MAGOH,,,False
63,63,EIF2B2,,,False
64,64,SF3A2,,,False
65,65,CNOT3,,,False
66,66,THAP1,THAP1,4663.0,True
67,67,EIF2B5,,,False
68,68,MRPL16,MRPL16,2745.0,True
69,69,SSU72,SSU72,4459.0,True
70,70,YEATS4,YEATS4,5225.0,True
71,71,SART3,,,False
72,72,MVK,MVK,2830.0,True
73,73,E4F1,,,False
74,74,MRPL35,,,False
75,75,RBMX2,RBMX2,3779.0,True
76,76,EXOSC2,EXOSC2,1509.0,True
77,77,CIAPIN1,,,False
78,78,PSMG3,PSMG3,3625.0,True
79,79,EEF2,EEF2,1354.0,True
80,80,GPS1,GPS1,1857.0,True
81,81,TSR1,TSR1,4930.0,True
82,82,CPSF3,,,False
83,83,EIF2B1,,,False
84,84,ALG14,,,False
85,85,PSMA4,PSMA4,3595.0,True
86,86,NUP107,NUP107,3107.0,True
87,87,MRPL36,MRPL36,2751.0,True
88,88,CYS1,CYS1,8962.0,True
89,89,OGFOD1,OGFOD1,3142.0,True
90,90,MRPL19,,,False
91,91,TTI1,TTI1,4948.0,True
92,92,UBA2,UBA2,4994.0,True
93,93,RABGGTA,,,False
94,94,SRP68,,,False
95,95,HNRNPL,HNRNPL,2051.0,True
96,96,EXOSC3,,,False
